,o3,pm10,no2,cases
2019-12-30,16.0,10.0,7.5,
2019-12-31,18.4,14.0,6.5,
2020-01-01,21.6,4.0,3.8,
2020-01-02,13.6,10.0,12.1,
2020-01-03,8.8,21.0,13.0,
2020-01-04,21.3,9.0,2.8,
2020-01-05,16.8,10.0,6.5,
2020-01-06,14.9,6.0,14.9,
2020-01-07,14.5,14.0,11.2,
2020-01-08,21.8,11.0,7.5,
2020-01-09,17.6,7.0,7.5,
2020-01-10,21.6,10.0,6.5,
2020-01-11,21.2,6.0,5.6,
2020-01-12,24.1,4.0,3.8,
2020-01-13,22.4,6.0,9.3,
2020-01-14,18.4,7.0,10.2,
2020-01-15,25.6,7.0,5.6,
2020-01-16,23.3,13.0,6.5,
2020-01-17,23.3,9.0,3.8,
2020-01-18,20.0,10.0,5.6,
2020-01-19,14.8,10.0,9.3,
2020-01-20,12.1,14.0,14.9,
2020-01-21,9.2,17.0,19.5,
2020-01-22,6.4,12.0,19.5,
2020-01-23,8.0,20.0,17.6,
2020-01-24,13.6,11.0,6.5,
2020-01-25,9.5,14.0,6.5,
2020-01-26,12.1,8.0,6.5,
2020-01-27,11.2,12.0,11.2,
2020-01-28,16.8,9.0,9.3,
2020-01-29,11.2,10.0,9.3,
2020-01-30,18.4,9.0,4.7,
2020-01-31,15.2,20.0,5.6,
2020-02-01,8.1,17.0,10.2,
2020-02-02,23.5,6.0,2.8,
2020-02-03,23.7,8.0,1.9,
2020-02-04,23.2,11.0,6.5,
2020-02-05,16.8,7.0,9.3,
2020-02-06,5.6,10.0,22.3,
2020-02-07,18.4,7.0,5.6,
2020-02-08,21.6,7.0,3.8,
2020-02-09,17.6,6.0,3.8,
2020-02-10,15.2,14.0,9.3,
2020-02-11,10.4,17.0,15.8,
2020-02-12,16.8,18.0,8.4,
2020-02-13,20.8,20.0,8.4,
2020-02-14,21.6,13.0,4.7,
2020-02-15,16.8,12.0,8.4,
2020-02-16,20.0,6.0,3.8,
2020-02-17,19.2,13.0,10.2,
2020-02-18,12.9,16.0,14.9,
2020-02-19,16.9,15.0,13.0,
2020-02-20,22.4,18.0,5.6,
2020-02-21,22.5,20.0,7.5,
2020-02-22,20.8,23.0,13.0,
2020-02-23,25.6,19.0,10.2,
2020-02-24,28.6,14.0,4.7,
2020-02-25,20.0,22.0,10.2,
2020-02-26,21.7,25.0,10.2,
2020-02-27,8.8,27.0,26.0,
2020-02-28,17.9,27.0,9.3,
2020-02-29,26.6,15.0,4.7,
2020-03-01,26.9,7.0,2.8,
2020-03-02,14.8,16.0,14.9,
2020-03-03,12.2,17.0,10.2,
2020-03-04,20.0,17.0,8.4,
2020-03-05,23.3,23.0,4.7,
2020-03-06,22.4,25.0,7.5,
