,o3,pm10,no2,cases
2019-12-30,18.4,,,
2019-12-31,20.0,,,
2020-01-01,20.8,8.0,5.6,
2020-01-02,20.0,9.0,10.2,
2020-01-03,19.2,11.0,10.2,
2020-01-04,23.3,9.0,6.5,
2020-01-05,22.4,9.0,5.6,
2020-01-06,21.6,9.0,10.2,
2020-01-07,15.2,8.0,9.4,
2020-01-08,23.3,7.0,5.6,
2020-01-09,20.0,12.0,6.7,
2020-01-10,14.5,15.0,7.8,
2020-01-11,27.2,4.0,2.8,
2020-01-12,23.3,6.0,8.4,
2020-01-13,12.8,11.0,13.1,
2020-01-14,13.6,14.0,12.1,
2020-01-15,9.6,15.0,11.2,
2020-01-16,20.8,19.0,6.5,
2020-01-17,16.8,10.0,6.4,
2020-01-18,15.2,7.0,4.5,
2020-01-19,20.8,16.0,4.7,
2020-01-20,20.8,13.0,23.4,
2020-01-21,12.8,18.0,18.6,
2020-01-22,16.8,19.0,12.7,
2020-01-23,10.4,17.0,15.8,
2020-01-24,12.8,13.0,10.2,
2020-01-25,13.6,10.0,11.2,
2020-01-26,20.8,13.0,5.8,
2020-01-27,16.8,13.0,11.2,
2020-01-28,23.3,10.0,10.2,
2020-01-29,20.0,12.0,13.0,
2020-01-30,9.6,23.0,22.3,
2020-01-31,10.4,21.0,18.0,
2020-02-01,16.0,15.0,6.5,
2020-02-02,24.1,10.0,4.7,
2020-02-03,26.4,6.0,10.2,
2020-02-04,28.1,9.0,4.1,
2020-02-05,28.9,7.0,6.5,
2020-02-06,30.4,13.0,13.9,
2020-02-07,24.1,13.0,15.8,
2020-02-08,22.4,13.0,8.4,
2020-02-09,18.4,,,
2020-02-10,22.4,,,
2020-02-11,24.8,,,
2020-02-12,11.2,,,
2020-02-13,23.3,,,
2020-02-14,18.4,,,
2020-02-15,20.0,,,
2020-02-16,24.8,,,
2020-02-17,26.2,,,
2020-02-18,28.1,,,
2020-02-19,28.1,,,
2020-02-20,28.9,,,
2020-02-21,26.1,,,
2020-02-22,25.3,,,
2020-02-23,25.2,,,
2020-02-24,32.0,12.0,10.2,
2020-02-25,31.6,8.0,4.7,
2020-02-26,26.4,9.0,7.5,
2020-02-27,25.8,10.0,9.3,
2020-02-28,25.6,10.0,11.2,
2020-02-29,24.1,9.0,9.3,
2020-03-01,25.6,20.0,8.4,
2020-03-02,23.3,15.0,6.8,
2020-03-03,24.1,14.0,8.7,
2020-03-04,22.7,11.0,11.2,
2020-03-05,24.1,12.0,8.5,
2020-03-06,26.4,9.0,4.7,
2020-03-07,25.6,12.0,8.5,
2020-03-08,27.6,16.0,5.6,
2020-03-09,25.6,21.0,12.1,1.4285714285714286
2020-03-10,17.6,10.0,4.7,2.142857142857143
2020-03-11,12.1,21.0,15.8,2.7142857142857144
2020-03-12,19.2,24.0,10.2,3.2857142857142856
2020-03-13,28.1,10.0,5.6,5.0
2020-03-14,28.9,7.0,4.7,6.428571428571429
2020-03-15,28.9,6.0,4.1,9.857142857142858
2020-03-16,14.5,20.0,13.3,11.785714285714285
2020-03-17,24.8,14.0,5.6,13.714285714285714
2020-03-18,16.0,17.0,6.5,23.142857142857142
2020-03-19,11.2,15.0,6.5,36.714285714285715
2020-03-20,24.1,6.0,6.5,55.0
2020-03-21,32.0,6.0,3.8,72.57142857142857
2020-03-22,26.4,10.0,2.8,107.71428571428571
2020-03-23,22.3,16.0,10.2,120.85714285714286
2020-03-24,20.0,20.0,11.2,155.28571428571428
2020-03-25,22.4,20.0,13.1,177.0
2020-03-26,22.4,12.0,4.7,232.14285714285714
2020-03-27,20.0,12.0,4.7,261.0
2020-03-28,21.2,10.0,3.8,295.0
2020-03-29,29.6,2.0,2.8,377.14285714285717
2020-03-30,30.4,7.0,3.8,400.7142857142857
2020-03-31,24.8,8.0,3.8,471.7142857142857
2020-04-01,20.0,10.0,4.0,533.4285714285714
2020-04-02,17.6,11.0,8.4,524.4285714285714
2020-04-03,24.4,12.0,6.5,604.8571428571429
2020-04-04,14.0,9.0,2.8,689.4285714285714
2020-04-05,26.4,10.0,3.8,656.8571428571429
2020-04-06,24.8,19.0,8.4,714.4285714285714
2020-04-07,27.6,23.0,8.5,716.1428571428571
2020-04-08,24.1,18.0,8.4,766.8571428571429
2020-04-09,32.0,10.0,3.8,834.2857142857143
2020-04-10,28.0,8.0,5.0,857.0
2020-04-11,33.6,24.0,6.9,854.0
2020-04-12,29.8,18.0,3.8,934.5714285714286
2020-04-13,30.5,6.0,4.0,963.7142857142857
2020-04-14,28.9,11.0,7.5,973.4285714285714
2020-04-15,28.4,10.0,11.2,969.4285714285714
2020-04-16,31.1,12.0,11.2,953.1428571428571
2020-04-17,32.7,14.0,6.5,988.4285714285714
2020-04-18,33.7,18.0,3.8,996.8571428571429
2020-04-19,31.3,9.0,2.8,955.2857142857143
2020-04-20,32.0,15.0,6.5,946.7142857142857
2020-04-21,32.0,10.0,6.5,979.7142857142857
2020-04-22,24.8,12.0,4.7,1034.2857142857142
2020-04-23,21.6,20.0,4.7,1103.4285714285713
2020-04-24,26.4,21.0,6.5,1175.0
2020-04-25,32.0,14.0,7.5,1237.5714285714287
2020-04-26,33.6,10.0,5.6,1328.857142857143
2020-04-27,26.4,15.0,17.6,1407.4285714285713
2020-04-28,27.6,23.0,10.2,1466.857142857143
2020-04-29,29.6,6.0,4.0,1476.2857142857142
2020-04-30,31.2,7.0,5.6,1528.857142857143
2020-05-01,26.4,11.0,6.5,1578.857142857143
2020-05-02,34.2,16.0,6.5,1595.5714285714287
2020-05-03,34.1,13.0,3.8,1678.5714285714287
2020-05-04,29.6,7.0,2.2,1680.2857142857142
2020-05-05,28.1,9.0,4.7,1682.0
