,o3,pm10,no2,cases
2019-12-30,6.4,20.0,11.2,
2019-12-31,8.0,34.0,13.0,
2020-01-01,12.8,39.0,13.0,
2020-01-02,6.4,40.0,13.0,
2020-01-03,5.6,35.0,14.9,
2020-01-04,11.2,24.0,11.2,
2020-01-05,9.6,11.0,6.5,
2020-01-06,10.4,18.0,8.4,
2020-01-07,4.8,21.0,12.1,
2020-01-08,7.3,18.0,9.3,
2020-01-09,9.6,13.0,9.3,
2020-01-10,9.6,15.0,12.1,
2020-01-11,12.8,20.0,13.9,
2020-01-12,5.6,25.0,13.0,
2020-01-13,7.3,26.0,17.6,
2020-01-14,12.1,23.0,14.9,
2020-01-15,6.4,20.0,16.7,
2020-01-16,16.8,20.0,8.4,
2020-01-17,10.4,10.0,12.1,
2020-01-18,9.6,15.0,7.5,
2020-01-19,9.6,23.0,7.5,
2020-01-20,2.4,24.0,11.2,
2020-01-21,6.4,32.0,12.1,
2020-01-22,8.0,27.0,14.9,
2020-01-23,8.8,17.0,13.9,
2020-01-24,8.0,30.0,13.0,
2020-01-25,6.4,38.0,9.3,
2020-01-26,17.6,18.0,7.5,
2020-01-27,9.6,16.0,9.3,
2020-01-28,8.0,22.0,12.1,
2020-01-29,12.8,12.0,5.6,
2020-01-30,14.5,28.0,13.0,
2020-01-31,13.6,59.0,13.9,
2020-02-01,14.5,36.0,13.0,
2020-02-02,21.6,20.0,8.4,
2020-02-03,16.8,10.0,5.6,
2020-02-04,13.6,29.0,17.6,
2020-02-05,12.1,39.0,21.3,
2020-02-06,12.8,40.0,20.4,
2020-02-07,16.0,41.0,22.3,
2020-02-08,21.6,37.0,11.2,
2020-02-09,17.6,24.0,8.4,
2020-02-10,9.6,40.0,15.8,
2020-02-11,9.6,35.0,19.5,
2020-02-12,10.4,32.0,16.7,
2020-02-13,16.8,32.0,20.4,
2020-02-14,14.5,35.0,16.7,
2020-02-15,16.0,32.0,13.9,
2020-02-16,24.1,25.0,8.4,
2020-02-17,15.2,20.0,10.2,
2020-02-18,17.6,39.0,15.8,
2020-02-19,20.0,40.0,19.5,
2020-02-20,20.8,31.0,16.7,
2020-02-21,15.2,40.0,13.0,
2020-02-22,21.6,18.0,6.5,
2020-02-23,19.2,19.0,9.3,
2020-02-24,12.8,30.0,9.3,
2020-02-25,11.2,34.0,14.9,
2020-02-26,14.5,27.0,10.2,
2020-02-27,9.6,30.0,21.3,
2020-02-28,12.1,33.0,15.8,
2020-02-29,29.6,29.0,4.7,
2020-03-01,26.4,17.0,3.8,
2020-03-02,5.6,27.0,13.9,
2020-03-03,24.1,35.0,10.2,
2020-03-04,15.2,38.0,13.0,
2020-03-05,16.8,38.0,16.7,
2020-03-06,18.4,32.0,8.4,
2020-03-07,21.6,10.0,3.8,
2020-03-08,17.6,11.0,5.6,
2020-03-09,16.8,16.0,8.4,
2020-03-10,16.8,16.0,6.5,
2020-03-11,13.6,12.0,8.4,
2020-03-12,19.2,17.0,11.2,
2020-03-13,22.4,19.0,3.8,
2020-03-14,24.1,11.0,2.8,
2020-03-15,24.1,9.0,2.8,
2020-03-16,20.8,2.0,3.8,
2020-03-17,22.4,5.0,5.6,
2020-03-18,22.4,5.0,5.6,
2020-03-19,19.2,7.0,4.7,
2020-03-20,16.0,8.0,6.5,
2020-03-21,20.0,7.0,4.7,
2020-03-22,20.8,10.0,5.6,
2020-03-23,27.2,3.0,2.8,
2020-03-24,24.8,7.0,3.8,
2020-03-25,26.4,4.0,3.8,
2020-03-26,24.8,5.0,4.7,3.7142857142857144
2020-03-27,21.6,9.0,5.6,4.142857142857143
2020-03-28,25.6,15.0,3.8,5.571428571428571
2020-03-29,25.6,7.0,2.8,5.857142857142858
2020-03-30,21.6,11.0,6.5,6.142857142857143
2020-03-31,20.8,10.0,3.8,7.857142857142857
2020-04-01,25.6,10.0,2.8,9.142857142857142
2020-04-02,23.3,12.0,3.8,10.714285714285714
2020-04-03,23.3,12.0,5.6,10.428571428571429
2020-04-04,25.6,12.0,3.8,10.285714285714286
2020-04-05,17.6,7.0,2.8,9.285714285714286
2020-04-06,27.2,2.0,2.8,10.142857142857142
2020-04-07,23.3,4.0,3.8,11.142857142857142
2020-04-08,22.4,7.0,3.8,10.571428571428571
2020-04-09,24.8,3.0,2.8,11.285714285714286
2020-04-10,23.3,8.0,7.5,13.0
2020-04-11,16.8,12.0,4.7,14.0
2020-04-12,20.0,17.0,3.8,15.142857142857142
2020-04-13,17.6,15.0,4.7,16.285714285714285
2020-04-14,24.8,22.0,6.5,18.214285714285715
2020-04-15,24.1,20.0,7.5,20.142857142857142
2020-04-16,27.2,24.0,4.7,21.285714285714285
2020-04-17,18.4,13.0,3.8,22.142857142857142
2020-04-18,22.4,12.0,2.8,20.285714285714285
2020-04-19,21.6,14.0,4.7,21.57142857142857
2020-04-20,19.2,12.0,4.7,22.857142857142858
2020-04-21,21.6,13.0,2.8,24.285714285714285
2020-04-22,31.2,21.0,4.7,23.142857142857142
2020-04-23,26.4,18.0,3.8,22.0
2020-04-24,28.1,24.0,5.6,21.142857142857142
2020-04-25,32.0,31.0,3.8,21.0
2020-04-26,26.4,15.0,3.8,23.57142857142857
2020-04-27,31.2,20.0,3.8,26.142857142857142
2020-04-28,28.1,28.0,5.6,24.285714285714285
2020-04-29,28.1,30.0,5.6,23.857142857142858
2020-04-30,32.8,25.0,2.8,25.714285714285715
2020-05-01,37.6,25.0,3.8,28.0
2020-05-02,23.3,16.0,2.8,27.142857142857142
2020-05-03,29.6,10.0,1.9,28.857142857142858
2020-05-04,32.8,18.0,4.7,30.571428571428573
2020-05-05,36.1,24.0,3.8,32.285714285714285
2020-05-06,29.6,27.0,2.8,36.57142857142857
2020-05-07,35.2,40.0,7.5,39.285714285714285
2020-05-08,40.0,40.0,7.5,39.57142857142857
2020-05-09,40.8,39.0,5.6,38.57142857142857
2020-05-10,32.8,25.0,3.8,41.57142857142857
2020-05-11,28.1,20.0,2.8,44.57142857142857
2020-05-12,26.4,20.0,3.8,44.57142857142857
2020-05-13,27.2,17.0,2.8,41.42857142857143
2020-05-14,26.4,17.0,1.9,42.42857142857143
2020-05-15,27.2,19.0,2.8,49.0
2020-05-16,29.6,18.0,3.8,50.142857142857146
2020-05-17,16.8,,2.8,52.07142857142857
2020-05-18,23.3,,2.8,54.0
2020-05-19,24.8,10.0,3.8,48.857142857142854
2020-05-20,28.9,15.0,3.8,50.57142857142857
2020-05-21,27.2,18.0,4.7,51.142857142857146
2020-05-22,32.0,21.0,4.7,49.0
2020-05-23,30.4,20.0,4.7,41.714285714285715
2020-05-24,34.4,16.0,5.6,41.42857142857143
2020-05-25,37.6,26.0,6.5,40.14285714285714
2020-05-26,40.0,31.0,6.5,38.857142857142854
2020-05-27,35.2,26.0,4.7,49.142857142857146
2020-05-28,36.8,24.0,5.6,45.714285714285715
2020-05-29,22.4,33.0,4.7,48.857142857142854
2020-05-30,20.0,20.0,2.8,46.57142857142857
2020-05-31,24.8,15.0,2.8,42.285714285714285
2020-06-01,25.6,23.0,3.8,57.142857142857146
2020-06-02,28.9,30.0,5.6,54.142857142857146
2020-06-03,34.4,38.0,7.5,44.714285714285715
2020-06-04,41.6,32.0,4.7,50.857142857142854
2020-06-05,26.4,40.0,2.8,52.285714285714285
2020-06-06,26.4,19.0,1.9,54.142857142857146
2020-06-07,24.8,18.0,1.9,60.78571428571429
2020-06-08,24.1,17.0,2.8,67.42857142857143
2020-06-09,30.4,25.0,6.5,57.714285714285715
2020-06-10,36.1,25.0,5.6,57.714285714285715
2020-06-11,31.2,32.0,4.7,64.42857142857143
2020-06-12,28.9,16.0,2.8,66.28571428571429
2020-06-13,26.4,14.0,1.9,66.71428571428571
2020-06-14,23.3,12.0,3.8,75.07142857142857
2020-06-15,24.1,16.0,2.8,83.42857142857143
2020-06-16,28.1,21.0,2.8,81.71428571428571
2020-06-17,29.6,25.0,4.7,87.71428571428571
2020-06-18,39.2,29.0,5.6,105.71428571428571
2020-06-19,41.6,30.0,6.5,113.14285714285714
2020-06-20,40.8,23.0,3.8,109.57142857142857
2020-06-21,25.6,16.0,3.8,121.78571428571428
2020-06-22,28.9,20.0,4.7,134.0
2020-06-23,37.6,27.0,4.7,138.0
2020-06-24,36.1,30.0,5.6,157.71428571428572
2020-06-25,34.4,34.0,4.7,164.71428571428572
2020-06-26,43.2,34.0,5.6,188.0
2020-06-27,36.1,35.0,3.8,183.85714285714286
2020-06-28,26.4,15.0,1.9,203.78571428571428
2020-06-29,27.2,34.0,3.8,223.71428571428572
2020-06-30,32.0,25.0,4.7,217.57142857142858
2020-07-01,30.4,28.0,4.7,231.0
2020-07-02,28.1,33.0,3.8,247.71428571428572
2020-07-03,40.0,30.0,3.8,256.85714285714283
2020-07-04,40.8,26.0,4.7,248.0
2020-07-05,35.2,23.0,3.8,275.7857142857143
2020-07-06,34.4,35.0,3.8,303.57142857142856
2020-07-07,34.4,24.0,3.8,301.85714285714283
2020-07-08,40.0,31.0,5.6,324.7142857142857
2020-07-09,37.6,30.0,5.6,334.0
2020-07-10,37.6,28.0,4.7,325.7142857142857
