,o3,pm10,no2,cases
2019-12-30,20.8,6.0,6.5,
2019-12-31,18.4,9.0,7.5,
2020-01-01,21.6,10.0,7.5,
2020-01-02,22.4,12.0,7.5,
2020-01-03,10.4,19.0,9.3,
2020-01-04,16.8,14.0,6.5,
2020-01-05,22.4,10.0,6.5,
2020-01-06,17.6,17.0,10.2,
2020-01-07,16.0,19.0,12.1,
2020-01-08,19.2,11.0,6.5,
2020-01-09,17.6,14.0,7.5,
2020-01-10,21.6,13.0,10.2,
2020-01-11,20.0,3.0,5.6,
2020-01-12,20.8,8.0,6.5,
2020-01-13,14.5,12.0,7.5,
2020-01-14,10.4,20.0,11.2,
2020-01-15,8.0,14.0,12.1,
2020-01-16,16.8,14.0,8.4,
2020-01-17,15.2,13.0,6.5,
2020-01-18,16.8,9.0,6.5,
2020-01-19,17.6,15.0,6.5,
2020-01-20,16.8,14.0,12.1,
2020-01-21,15.2,20.0,13.0,
2020-01-22,16.8,19.0,12.1,
2020-01-23,15.2,17.0,11.2,
2020-01-24,12.1,12.0,12.1,
2020-01-25,11.2,10.0,7.5,
2020-01-26,18.4,12.0,8.4,
2020-01-27,15.2,20.0,13.0,
2020-01-28,14.5,19.0,10.2,
2020-01-29,18.4,13.0,8.4,
2020-01-30,15.2,17.0,10.2,
2020-01-31,14.5,19.0,11.2,
2020-02-01,15.2,22.0,10.2,
2020-02-02,20.0,13.0,7.5,
2020-02-03,19.2,20.0,14.9,
2020-02-04,21.6,12.0,7.5,
2020-02-05,22.4,8.0,7.5,
2020-02-06,22.4,10.0,7.5,
2020-02-07,22.4,12.0,10.2,
2020-02-08,18.4,15.0,8.4,
2020-02-09,17.6,18.0,7.5,
2020-02-10,16.8,13.0,9.3,
2020-02-11,18.4,15.0,9.3,
2020-02-12,13.6,21.0,19.5,
2020-02-13,19.2,10.0,8.4,
2020-02-14,18.4,14.0,12.1,
2020-02-15,18.4,15.0,10.2,
2020-02-16,20.8,12.0,8.4,
2020-02-17,17.6,17.0,10.2,
2020-02-18,16.0,16.0,9.3,
2020-02-19,20.0,13.0,14.9,
2020-02-20,24.1,9.0,7.5,
2020-02-21,20.0,17.0,13.0,
2020-02-22,20.0,20.0,13.0,
2020-02-23,23.3,18.0,12.1,
2020-02-24,18.4,11.0,12.1,
2020-02-25,20.0,9.0,7.5,
2020-02-26,25.6,8.0,5.6,
