,o3,pm10,no2,cases
2019-12-30,11.2,12.0,15.8,
2019-12-31,16.8,10.0,13.8,
2020-01-01,8.8,27.0,11.0,
2020-01-02,6.4,23.0,13.9,
2020-01-03,7.3,22.0,21.3,
2020-01-04,6.4,20.0,17.9,
2020-01-05,8.0,24.0,14.9,
2020-01-06,5.6,23.0,17.9,
2020-01-07,14.5,15.0,21.3,
2020-01-08,7.3,21.0,20.4,
2020-01-09,9.0,19.0,13.0,
2020-01-10,10.4,15.0,8.4,
2020-01-11,7.3,16.0,16.7,
2020-01-12,9.6,15.0,14.9,
2020-01-13,7.3,23.0,19.2,
2020-01-14,8.8,22.0,17.9,
2020-01-15,8.0,27.0,21.3,
2020-01-16,7.3,28.0,18.6,
2020-01-17,12.1,15.0,9.3,
2020-01-18,9.6,26.0,15.8,
2020-01-19,16.8,15.0,15.8,
2020-01-20,17.6,17.0,18.6,
2020-01-21,15.2,10.0,8.4,
2020-01-22,11.2,15.0,10.2,
2020-01-23,4.8,23.0,13.9,
2020-01-24,7.3,22.0,14.9,
2020-01-25,8.8,18.0,11.9,
2020-01-26,8.0,20.0,11.9,
2020-01-27,15.5,19.0,11.9,
2020-01-28,16.7,13.0,14.7,
2020-01-29,9.8,19.0,18.8,
2020-01-30,16.0,12.0,9.3,
2020-01-31,13.6,22.0,17.6,
2020-02-01,7.0,20.0,17.4,
2020-02-02,12.8,14.0,13.0,
2020-02-03,23.3,25.0,4.7,
2020-02-04,19.2,12.0,9.3,
2020-02-05,16.3,14.0,7.5,
2020-02-06,8.2,22.0,14.9,
2020-02-07,8.0,28.0,16.7,
2020-02-08,11.2,27.0,16.0,
2020-02-09,16.8,18.0,5.6,
2020-02-10,15.2,17.0,8.3,
2020-02-11,23.0,4.0,2.8,
2020-02-12,10.4,11.0,9.2,
2020-02-13,11.2,18.0,11.9,
2020-02-14,13.9,17.0,11.9,
2020-02-15,13.6,20.0,11.0,
2020-02-16,14.5,17.0,10.2,
2020-02-17,18.4,21.0,13.8,
2020-02-18,16.0,27.0,13.8,
2020-02-19,14.5,25.0,15.1,
2020-02-20,18.4,22.0,14.7,
2020-02-21,19.3,24.0,5.1,
2020-02-22,17.6,7.0,2.8,
2020-02-23,22.4,11.0,3.2,
2020-02-24,14.7,16.0,8.4,
2020-02-25,26.4,12.0,3.8,
2020-02-26,23.3,5.0,4.7,
2020-02-27,11.2,16.0,17.6,
2020-02-28,15.5,16.0,16.0,
2020-02-29,15.2,19.0,10.6,
2020-03-01,16.8,13.0,7.5,
2020-03-02,15.0,15.0,11.2,
2020-03-03,24.8,16.0,5.6,
2020-03-04,15.2,15.0,8.4,
2020-03-05,16.0,17.0,13.8,
