,o3,pm10,no2,cases
2019-12-30,14.5,,18.6,
2019-12-31,20.0,,13.9,
2020-01-01,18.4,,17.6,
2020-01-02,18.4,,12.1,
2020-01-03,12.1,,25.1,
2020-01-04,6.4,,25.1,
2020-01-05,6.4,,27.8,
2020-01-06,12.1,,23.2,
2020-01-07,7.3,,26.9,
2020-01-08,13.6,,17.6,
2020-01-09,20.8,,11.2,
2020-01-10,25.6,,6.5,
2020-01-11,18.4,,13.9,
2020-01-12,22.4,,9.3,
2020-01-13,24.8,,10.2,
2020-01-14,27.2,,7.5,
2020-01-15,11.2,,30.6,
2020-01-16,16.8,,22.3,
2020-01-17,28.9,,5.6,
2020-01-18,8.0,,26.9,
2020-01-19,13.6,,29.7,
2020-01-20,3.2,,39.9,
2020-01-21,4.8,,32.5,
2020-01-22,12.1,,24.1,
2020-01-23,5.6,,25.1,
2020-01-24,4.8,,27.8,
2020-01-25,6.4,,19.5,
2020-01-26,8.8,,15.8,
2020-01-27,14.5,,13.0,
2020-01-28,11.2,,19.5,
2020-01-29,18.4,,10.2,
2020-01-30,12.8,,17.6,
2020-01-31,12.1,,22.3,
2020-02-01,5.6,,24.1,
2020-02-02,12.1,,16.7,
2020-02-03,27.2,,3.8,
2020-02-04,27.2,,7.5,
2020-02-05,16.0,,18.6,
2020-02-06,10.4,,24.1,
2020-02-07,7.3,,26.9,
2020-02-08,21.6,,14.9,
2020-02-09,22.4,,13.0,
2020-02-10,17.6,,13.9,
2020-02-11,16.0,,16.7,
2020-02-12,17.6,,22.3,
2020-02-13,22.4,,25.1,
2020-02-14,16.8,,14.9,
2020-02-15,11.2,,20.4,
2020-02-16,15.2,,16.7,
2020-02-17,27.2,,7.5,
2020-02-18,24.1,,12.1,
2020-02-19,24.1,,8.4,
2020-02-20,26.4,,16.7,
2020-02-21,14.5,,32.5,
2020-02-22,16.0,,34.3,
2020-02-23,20.0,,14.9,
2020-02-24,31.2,,4.7,
2020-02-25,24.8,,9.3,
2020-02-26,19.2,,18.6,
2020-02-27,16.8,,18.6,
2020-02-28,17.6,,19.5,
2020-02-29,21.6,,13.0,
2020-03-01,27.2,,6.5,
2020-03-02,14.5,,15.8,
2020-03-03,14.5,,19.5,
2020-03-04,11.2,,17.6,
2020-03-05,20.0,,13.9,
2020-03-06,24.1,,13.0,
2020-03-07,35.2,,3.8,
2020-03-08,34.4,,3.8,
2020-03-09,23.3,,10.2,
2020-03-10,20.0,,12.1,
2020-03-11,17.6,,13.9,
2020-03-12,18.4,,11.2,
2020-03-13,20.0,,13.9,
2020-03-14,31.2,,1.9,
2020-03-15,35.2,,1.0,
2020-03-16,34.4,,3.8,
2020-03-17,30.4,,10.2,
2020-03-18,33.6,,3.8,
2020-03-19,27.2,,6.5,4.285714285714286
2020-03-20,24.1,,8.4,6.285714285714286
2020-03-21,28.1,,6.5,8.0
2020-03-22,28.1,,4.7,9.857142857142858
2020-03-23,31.2,,6.5,13.142857142857142
2020-03-24,33.6,,3.8,14.857142857142858
2020-03-25,32.0,,4.7,18.142857142857142
2020-03-26,31.2,,4.7,21.428571428571427
2020-03-27,28.9,,8.4,23.714285714285715
2020-03-28,31.2,,4.7,30.857142857142858
2020-03-29,30.4,,4.7,34.285714285714285
2020-03-30,28.9,,4.7,35.857142857142854
2020-03-30,28.9,,4.7,35.857142857142854
2020-03-30,28.9,,4.7,35.857142857142854
2020-03-30,28.9,,4.7,35.857142857142854
2020-03-31,32.8,,3.8,38.42857142857143
