,o3,pm10,no2,cases
2019-12-30,24.8,9.0,6.5,
2019-12-31,24.8,9.0,5.6,
2020-01-01,30.4,7.0,4.7,
2020-01-02,26.4,10.0,7.5,
2020-01-03,25.6,10.0,5.6,
2020-01-04,22.4,11.0,13.9,
2020-01-05,20.8,12.0,12.1,
2020-01-06,27.2,10.0,6.5,
2020-01-07,21.6,16.0,26.0,
2020-01-08,23.3,24.0,17.6,
2020-01-09,24.1,12.0,18.6,
2020-01-10,27.2,10.0,4.7,
2020-01-11,23.3,10.0,6.5,
2020-01-12,24.1,9.0,9.3,
2020-01-13,27.2,15.0,25.1,
2020-01-14,23.3,14.0,22.3,
2020-01-15,22.4,19.0,18.6,
2020-01-16,16.8,18.0,16.7,
2020-01-17,19.2,17.0,8.4,
2020-01-18,25.6,8.0,9.3,
2020-01-19,24.8,8.0,4.7,
2020-01-20,17.6,17.0,17.6,
2020-01-21,13.6,15.0,17.6,
2020-01-22,23.3,9.0,5.6,
2020-01-23,24.8,8.0,6.5,
2020-01-24,21.6,10.0,11.2,
2020-01-25,24.8,8.0,9.3,
2020-01-26,22.4,9.0,13.9,
2020-01-27,23.3,10.0,7.5,
2020-01-28,27.2,6.0,4.7,
2020-01-29,24.1,10.0,9.3,
2020-01-30,27.2,11.0,6.5,
2020-01-31,23.3,9.0,4.7,
2020-02-01,24.1,11.0,10.2,
2020-02-02,23.3,10.0,7.5,
2020-02-03,28.9,18.0,4.7,
2020-02-04,26.4,12.0,6.5,
2020-02-05,24.8,10.0,6.5,
2020-02-06,25.6,10.0,3.8,
2020-02-07,22.4,10.0,5.6,
2020-02-08,22.4,10.0,11.2,
2020-02-09,29.6,10.0,2.8,
2020-02-10,19.2,9.0,6.5,
2020-02-11,24.8,9.0,3.8,
2020-02-12,24.1,9.0,6.5,
2020-02-13,21.6,9.0,10.2,
2020-02-14,21.6,15.0,13.9,
2020-02-15,23.3,9.0,15.8,
2020-02-16,24.8,9.0,14.9,
2020-02-17,23.3,11.0,9.3,
2020-02-18,23.3,18.0,6.5,
2020-02-19,17.6,19.0,13.0,
2020-02-20,16.8,19.0,8.4,
2020-02-21,16.0,18.0,8.4,
2020-02-22,14.5,16.0,13.0,
2020-02-23,25.6,6.0,5.6,
2020-02-24,30.4,15.0,4.7,
2020-02-25,30.4,8.0,3.8,
2020-02-26,20.0,14.0,8.4,
2020-02-27,29.6,11.0,14.9,
2020-02-28,23.3,14.0,17.6,
2020-02-29,30.4,16.0,17.6,
2020-03-01,30.4,10.0,5.6,
2020-03-02,19.2,12.0,18.6,
2020-03-03,29.6,16.0,16.7,
2020-03-04,28.9,18.0,7.5,
2020-03-05,32.8,23.0,5.6,
2020-03-06,28.9,22.0,7.5,
2020-03-07,33.6,17.0,4.7,
2020-03-08,28.1,10.0,2.8,
2020-03-09,28.1,10.0,3.8,
2020-03-10,27.2,10.0,6.5,
2020-03-11,21.6,7.0,3.8,
2020-03-12,24.1,5.0,3.8,
2020-03-13,28.1,4.0,3.8,
2020-03-14,27.2,4.0,3.8,
2020-03-15,32.8,9.0,4.7,
2020-03-16,28.9,10.0,5.6,
2020-03-17,28.9,13.0,3.8,
2020-03-18,29.6,9.0,3.8,
2020-03-19,32.8,4.0,2.8,2.7142857142857144
2020-03-20,26.4,9.0,3.8,3.0
2020-03-21,21.6,10.0,3.8,3.857142857142857
2020-03-22,32.0,9.0,6.5,4.0
2020-03-23,35.2,10.0,2.8,4.0
2020-03-24,40.0,7.0,3.8,4.142857142857143
2020-03-25,36.8,10.0,2.8,4.428571428571429
2020-03-26,28.1,16.0,3.8,5.0
2020-03-27,37.6,11.0,1.9,8.428571428571429
2020-03-28,36.1,9.0,3.8,8.714285714285714
2020-03-29,37.6,11.0,2.8,9.571428571428571
2020-03-30,37.6,13.0,6.5,11.285714285714286
2020-03-31,34.4,11.0,4.7,12.285714285714286
2020-04-01,36.1,13.0,2.8,14.285714285714286
2020-04-02,36.8,15.0,2.8,15.428571428571429
2020-04-03,34.4,15.0,1.9,17.142857142857142
2020-04-04,33.6,16.0,2.8,18.857142857142858
2020-04-05,36.1,13.0,2.8,20.714285714285715
2020-04-06,32.8,14.0,3.8,20.714285714285715
2020-04-07,32.8,13.0,3.8,25.428571428571427
2020-04-08,33.6,16.0,4.7,25.285714285714285
2020-04-09,34.4,14.0,1.9,29.428571428571427
2020-04-10,33.6,14.0,4.7,29.285714285714285
2020-04-11,34.4,14.0,3.8,28.142857142857142
2020-04-12,34.4,14.0,1.9,27.714285714285715
2020-04-13,22.4,8.0,6.5,27.571428571428573
2020-04-14,34.4,11.0,8.4,22.428571428571427
2020-04-15,34.4,11.0,3.8,21.714285714285715
2020-04-16,32.0,11.0,3.8,17.428571428571427
2020-04-17,35.2,14.0,3.8,15.285714285714286
2020-04-18,35.2,15.0,3.8,15.0
2020-04-19,36.8,11.0,2.8,14.571428571428571
2020-04-20,35.2,14.0,4.7,15.857142857142858
2020-04-21,40.0,15.0,2.8,17.285714285714285
2020-04-22,38.4,14.0,2.8,17.571428571428573
2020-04-23,33.6,18.0,3.8,20.0
2020-04-24,38.4,20.0,2.8,19.571428571428573
2020-04-25,36.8,15.0,3.8,20.428571428571427
2020-04-26,36.8,19.0,5.6,20.857142857142858
2020-04-27,32.8,19.0,3.8,18.285714285714285
2020-04-28,34.4,22.0,2.8,21.857142857142858
2020-04-29,37.6,31.0,1.9,23.571428571428573
2020-04-30,39.2,37.0,3.8,25.714285714285715
2020-05-01,37.6,20.0,3.8,25.571428571428573
2020-05-02,40.8,20.0,1.9,30.428571428571427
2020-05-03,40.8,20.0,2.8,33.142857142857146
2020-05-04,40.8,26.0,2.8,35.714285714285715
2020-05-05,37.6,28.0,1.9,32.142857142857146
2020-05-06,37.6,30.0,4.7,30.857142857142858
2020-05-07,46.5,27.0,2.8,28.714285714285715
2020-05-08,37.6,39.0,1.9,28.571428571428573
2020-05-09,41.6,34.0,2.8,23.857142857142858
