,o3,pm10,no2,cases
2019-12-30,24.1,7.0,3.8,
2019-12-31,20.0,7.0,4.8,
2020-01-01,20.0,8.0,5.6,
2020-01-02,15.2,16.0,10.2,
2020-01-03,2.4,13.0,15.0,
2020-01-04,20.8,9.0,2.8,
2020-01-05,16.0,8.0,5.7,
2020-01-06,21.6,12.0,15.8,
2020-01-07,24.1,9.0,5.8,
2020-01-08,19.2,10.0,24.1,
2020-01-09,29.6,16.0,5.6,
2020-01-10,22.4,15.0,3.8,
2020-01-11,20.0,10.0,1.1,
2020-01-12,17.6,10.0,5.7,
2020-01-13,8.0,10.0,6.5,
2020-01-14,6.4,9.0,10.5,
2020-01-15,8.0,10.0,10.4,
2020-01-16,18.4,10.0,6.5,
2020-01-17,25.6,7.0,3.8,
2020-01-18,22.4,11.0,4.0,
2020-01-19,24.8,7.0,2.8,
2020-01-20,19.2,10.0,5.9,
2020-01-21,12.8,12.0,13.9,
2020-01-22,18.4,14.0,14.3,
2020-01-23,22.4,11.0,5.6,
2020-01-24,9.6,10.0,12.1,
2020-01-25,12.8,7.0,5.6,
2020-01-26,12.1,10.0,6.5,
2020-01-27,18.4,12.0,16.7,
2020-01-28,24.1,13.0,14.0,
2020-01-29,17.6,13.0,14.9,
2020-01-30,27.2,15.0,13.0,
2020-01-31,15.2,13.0,7.8,
2020-02-01,13.6,12.0,6.5,
2020-02-02,15.2,9.0,10.2,
2020-02-03,31.2,11.0,17.6,
2020-02-04,26.4,10.0,5.6,
2020-02-05,20.8,11.0,2.8,
2020-02-06,14.5,8.0,3.8,
2020-02-07,14.5,4.0,3.8,
2020-02-08,7.3,12.0,13.9,
2020-02-09,12.8,10.0,4.9,
2020-02-10,8.0,12.0,11.2,
2020-02-11,12.1,11.0,4.7,
2020-02-12,12.8,13.0,3.8,
2020-02-13,16.8,6.0,4.7,
2020-02-14,20.8,9.0,6.5,
2020-02-15,22.4,10.0,6.6,
2020-02-16,12.8,13.0,6.6,
2020-02-17,15.2,9.0,4.9,
