,o3,pm10,no2,cases
2019-12-30,19.2,,,
2019-12-31,12.1,,,
2020-01-01,21.6,,,
2020-01-02,15.2,,,
2020-01-03,13.6,,,
2020-01-04,14.5,,,
2020-01-05,18.4,,,
2020-01-06,13.6,,,
2020-01-07,16.8,,,
2020-01-08,28.9,,,
2020-01-09,23.3,,,
2020-01-10,20.8,,,
2020-01-11,15.2,,,
2020-01-12,15.2,,,
2020-01-13,12.8,,,
2020-01-14,12.1,,,
2020-01-15,8.0,,,
2020-01-16,12.1,,,
2020-01-17,8.8,,,
2020-01-18,16.0,,,
2020-01-19,22.4,,,
2020-01-20,14.5,,,
2020-01-21,20.0,,,
2020-01-22,16.0,,,
2020-01-23,11.2,,,
2020-01-24,15.2,,,
2020-01-25,23.3,,,
2020-01-26,19.2,,,
2020-01-27,14.5,,,
2020-01-28,16.0,,,
2020-01-29,15.2,,,
2020-01-30,14.5,,,
2020-01-31,12.1,,,
2020-02-01,17.6,,,
2020-02-02,25.6,,,
2020-02-03,25.6,,,
2020-02-04,14.5,,,
2020-02-05,14.5,,,
2020-02-06,20.0,,,
2020-02-07,17.6,,,
2020-02-08,24.8,,,
2020-02-09,20.8,,,
2020-02-10,12.8,,,
2020-02-11,15.2,,,
2020-02-12,14.5,,,
2020-02-13,16.8,,,
2020-02-14,19.2,,,
2020-02-15,22.4,,,
2020-02-16,23.3,,,
2020-02-17,17.6,,,
2020-02-18,13.6,,,
2020-02-19,16.8,,,
2020-02-20,24.1,,,
2020-02-21,22.4,,,
2020-02-22,24.1,,,
2020-02-23,21.6,,,
2020-02-24,21.6,,,
2020-02-25,24.1,,,
2020-02-26,24.8,,,
2020-02-27,25.6,,,
2020-02-28,20.8,,,
2020-03-02,20.0,,,
2020-03-03,10.4,,,
2020-03-04,22.4,,,
2020-03-05,18.4,,,
2020-03-06,23.3,,,
2020-03-07,26.4,,,
2020-03-08,28.1,,,
2020-03-09,20.0,,,
2020-03-10,12.1,,,
2020-03-11,20.0,,,
2020-03-12,20.0,,,
2020-03-13,15.2,,,
2020-03-14,11.2,,,
2020-03-15,12.1,,,
2020-03-16,9.6,,,
2020-03-17,11.2,,,
2020-03-18,17.6,,,4.571428571428571
2020-03-19,20.0,,,7.571428571428571
2020-03-20,14.5,,,9.428571428571429
2020-03-21,18.4,,,12.285714285714286
2020-03-22,11.2,,,17.285714285714285
2020-03-23,7.3,,,20.714285714285715
2020-03-24,18.4,,,20.857142857142858
2020-03-25,33.6,,,29.642857142857146
2020-03-26,24.1,,,38.42857142857143
2020-03-27,21.6,,,44.42857142857143
2020-03-28,25.6,,,52.142857142857146
2020-03-29,25.6,,,49.714285714285715
2020-03-30,24.8,,,59.57142857142857
2020-03-31,28.9,,,67.42857142857143
2020-04-01,31.2,,,80.28571428571429
2020-04-02,30.4,,,75.42857142857143
2020-04-03,16.0,,,79.14285714285714
2020-04-04,7.3,,,82.28571428571429
2020-04-05,12.1,,,95.57142857142857
2020-04-06,17.6,,,86.57142857142857
2020-04-07,20.0,,,90.0
2020-04-08,16.8,,,84.71428571428571
2020-04-09,20.8,,,85.85714285714286
2020-04-10,34.4,,,88.0
2020-04-11,26.4,,,90.42857142857143
2020-04-12,28.1,,,87.28571428571429
2020-04-13,28.1,,,90.42857142857143
2020-04-14,27.2,,,88.0
2020-04-15,24.8,,,94.57142857142857
2020-04-16,30.4,,,90.57142857142857
2020-04-17,20.8,,,93.28571428571429
2020-04-18,21.6,,,96.57142857142857
2020-04-19,15.2,,,100.71428571428571
2020-04-20,16.0,,,103.42857142857143
2020-04-21,33.6,,,103.57142857142857
2020-04-22,27.2,,,99.57142857142857
2020-04-23,36.1,,,99.57142857142857
2020-04-24,37.6,,,92.0
2020-04-25,30.4,,,83.57142857142857
2020-04-26,31.2,,,83.71428571428571
2020-04-27,36.8,,,84.71428571428571
2020-04-28,29.6,,,91.14285714285714
2020-04-29,32.0,,,95.57142857142857
2020-04-30,32.0,,,109.71428571428571
2020-05-01,41.6,,,126.28571428571429
2020-05-02,34.4,,,141.42857142857142
2020-05-03,30.4,,,159.85714285714286
2020-05-04,29.6,,,180.71428571428572
2020-05-05,32.0,,,197.57142857142858
2020-05-06,33.6,,,216.71428571428572
2020-05-07,37.6,,,227.0
2020-05-08,32.8,,,235.85714285714286
2020-05-09,31.2,,,245.71428571428572
2020-05-10,29.6,,,248.14285714285714
2020-05-11,33.6,,,250.42857142857142
2020-05-12,32.0,,,248.0
2020-05-13,27.2,,,247.57142857142858
2020-05-14,27.2,,,245.28571428571428
2020-05-15,25.6,,,238.14285714285714
2020-05-16,31.2,,,233.0
2020-05-17,27.2,,,226.42857142857142
2020-05-18,37.6,,,222.28571428571428
2020-05-19,32.8,,,220.71428571428572
2020-05-20,26.4,,,212.57142857142858
2020-05-21,23.3,,,205.14285714285714
2020-05-22,24.8,,,205.85714285714286
2020-05-23,29.6,,,199.85714285714286
2020-05-24,23.3,,,196.0
2020-05-25,24.8,,,188.42857142857142
2020-05-26,14.5,,,183.42857142857142
2020-05-27,27.2,,,185.0
2020-05-28,28.9,,,187.71428571428572
2020-05-29,30.4,,,187.14285714285714
2020-05-30,35.2,,,193.85714285714286
2020-05-31,35.2,,,201.0
2020-06-01,33.6,,,209.14285714285714
2020-06-02,30.4,,,218.71428571428572
2020-06-03,27.2,,,224.71428571428572
2020-06-04,20.8,,,236.57142857142858
2020-06-05,24.8,,,250.57142857142858
2020-06-06,30.4,,,260.57142857142856
2020-06-07,27.2,,,265.57142857142856
2020-06-08,28.1,,,269.2857142857143
2020-06-09,32.0,,,275.14285714285717
2020-06-10,27.2,,,283.85714285714283
2020-06-11,30.4,,,287.7142857142857
2020-06-12,29.6,,,292.0
2020-06-13,37.6,,,300.0
2020-06-14,37.6,,,305.57142857142856
2020-06-15,32.8,,,312.85714285714283
2020-06-16,30.4,,,314.0
2020-06-17,35.2,,,330.14285714285717
2020-06-18,29.6,,,341.57142857142856
2020-06-19,24.8,,,351.0
2020-06-20,30.4,,,358.14285714285717
2020-06-21,19.2,,,373.2857142857143
2020-06-22,22.4,,,394.57142857142856
2020-06-23,20.0,,,414.42857142857144
2020-06-24,24.1,,,411.2857142857143
2020-06-25,24.1,,,412.85714285714283
2020-06-26,16.8,,,427.42857142857144
2020-06-27,16.8,,,451.14285714285717
2020-06-28,12.1,,,474.2857142857143
2020-06-29,14.5,,,491.14285714285717
2020-06-30,13.6,,,513.4285714285714
2020-07-01,16.8,,,535.2857142857143
2020-07-02,15.2,,,578.8571428571429
2020-07-03,21.6,,,663.0
2020-07-04,25.6,,,740.4285714285714
2020-07-05,20.8,,,810.7142857142857
2020-07-06,20.8,,,902.4285714285714
2020-07-07,17.6,,,970.4285714285714
2020-07-08,15.2,,,1039.7142857142858
2020-07-09,17.6,,,1110.142857142857
2020-07-10,16.0,,,1121.4285714285713
2020-07-11,16.8,,,1121.142857142857
2020-07-12,30.4,,,1137.142857142857
2020-07-13,24.1,,,1122.857142857143
2020-07-14,20.0,,,1111.857142857143
2020-07-15,17.6,,,1115.5714285714287
2020-07-16,19.2,,,1090.7142857142858
2020-07-17,21.6,,,1095.142857142857
2020-07-18,22.4,,,1085.142857142857
2020-07-19,20.0,,,1066.5714285714287
2020-07-20,23.3,,,1054.0
2020-07-21,18.4,,,1016.0
2020-07-22,13.6,,,924.2857142857143
2020-07-23,26.4,,,870.1428571428571
2020-07-24,23.3,,,793.5714285714286
2020-07-25,16.8,,,827.2857142857143
2020-07-26,16.0,,,792.4285714285714
2020-07-27,17.6,,,706.7142857142857
2020-07-28,12.8,,,714.5714285714286
2020-07-29,20.0,,,756.1428571428571
2020-07-30,20.8,,,740.2857142857143
2020-07-31,27.2,,,936.1428571428571
2020-08-01,30.4,,,987.5
2020-08-02,30.4,,,1038.857142857143
2020-08-03,28.1,,,988.5714285714286
2020-08-04,33.6,,,1039.857142857143
2020-08-05,29.6,,,999.7142857142857
2020-08-06,24.8,,,958.2857142857143
2020-08-07,28.1,,,965.7142857142857
2020-08-08,28.1,,,759.0
2020-08-09,18.4,,,614.2857142857143
2020-08-10,15.2,,,639.0
2020-08-11,15.2,,,573.7142857142857
2020-08-12,19.2,,,547.1428571428571
2020-08-13,19.2,,,595.1428571428571
2020-08-14,21.6,,,642.5714285714286
2020-08-15,24.1,,,668.4285714285714
2020-08-16,28.9,,,1295.2857142857142
2020-08-17,24.8,,,1471.4285714285713
2020-08-18,27.2,,,1538.0
2020-08-19,24.1,,,1549.5714285714287
2020-08-20,28.9,,,1492.2857142857142
2020-08-21,28.9,,,1463.142857142857
2020-08-22,33.6,,,1509.4285714285713
2020-08-23,31.2,,,790.7142857142857
2020-08-24,28.1,,,552.1428571428571
2020-08-25,23.3,,,493.14285714285717
2020-08-26,16.8,,,519.0
2020-08-27,16.8,,,512.4285714285714
2020-08-28,24.8,,,505.85714285714283
2020-08-29,22.4,16.0,2.5,517.8571428571429
2020-08-30,20.8,6.0,1.9,503.78571428571433
2020-08-31,20.0,12.0,3.0,489.7142857142857
2020-09-01,20.0,20.0,2.9,541.4285714285714
2020-09-02,20.8,5.0,4.1,567.5714285714286
2020-09-03,20.0,,5.3,572.2142857142858
2020-09-04,20.0,,3.1,576.8571428571429
2020-09-05,11.2,,2.5,553.1428571428571
2020-09-06,18.4,,2.5,567.7142857142857
