,o3,pm10,no2,cases
2019-12-30,10.6,12.0,15.6,
2019-12-31,12.2,19.0,14.7,
2020-01-01,14.7,10.0,10.6,
2020-01-02,11.8,14.0,9.2,
2020-01-03,11.0,15.0,9.2,
2020-01-04,10.6,13.0,9.2,
2020-01-05,12.6,10.0,4.2,
2020-01-06,15.1,12.0,4.6,
2020-01-07,10.2,19.0,10.6,
2020-01-08,10.2,18.0,13.8,
2020-01-09,12.2,16.0,5.5,
2020-01-10,7.8,16.0,6.4,
2020-01-11,5.7,22.0,11.9,
2020-01-12,9.8,10.0,11.5,
2020-01-13,7.4,20.0,15.6,
2020-01-14,4.9,36.0,19.7,
2020-01-15,9.4,24.0,8.3,
2020-01-16,2.1,39.0,14.7,
2020-01-17,16.3,36.0,10.1,
2020-01-18,9.8,16.0,9.2,
2020-01-19,6.1,21.0,15.1,
2020-01-20,6.5,37.0,17.9,
2020-01-21,0.9,71.0,22.9,
2020-01-22,13.9,20.0,6.0,
2020-01-23,10.2,22.0,13.8,
2020-01-24,6.5,27.0,15.6,
2020-01-25,7.4,25.0,13.8,
2020-01-26,8.6,14.0,11.5,
2020-01-27,3.7,24.0,15.1,
2020-01-28,9.4,20.0,11.9,
2020-01-29,9.4,16.0,12.8,
2020-01-30,8.6,16.0,8.7,
2020-01-31,8.6,15.0,13.8,
2020-02-01,15.5,10.0,7.8,
2020-02-02,16.7,8.0,6.0,
2020-02-03,11.0,4.0,3.2,
2020-02-04,10.6,7.0,5.5,
2020-02-05,7.8,17.0,13.8,
2020-02-06,10.6,11.0,7.8,
2020-02-07,11.8,7.0,7.4,
2020-02-08,5.7,20.0,19.7,
2020-02-09,11.4,6.0,4.6,
2020-02-10,11.8,12.0,11.0,
2020-02-11,10.6,16.0,17.0,
2020-02-12,12.2,11.0,12.8,
2020-02-13,10.6,14.0,11.0,
2020-02-14,9.0,31.0,23.4,
2020-02-15,12.2,13.0,8.3,
2020-02-16,10.2,20.0,17.4,
2020-02-17,15.1,18.0,6.0,
2020-02-18,14.3,12.0,6.0,
2020-02-19,9.0,12.0,7.4,
2020-02-20,9.0,19.0,14.7,
2020-02-21,15.1,24.0,19.2,
2020-02-22,11.8,18.0,18.8,
2020-02-23,13.0,12.0,6.0,
2020-02-24,15.9,11.0,5.1,
2020-02-25,13.5,9.0,3.7,
2020-02-26,12.6,13.0,9.6,
2020-02-27,15.9,12.0,4.6,
2020-02-28,12.2,17.0,10.6,
2020-02-29,9.0,16.0,14.2,
2020-03-01,11.0,10.0,6.4,
2020-03-02,7.4,15.0,9.2,
2020-03-03,11.4,20.0,9.6,
2020-03-04,13.9,13.0,6.0,
2020-03-05,13.0,16.0,3.2,
2020-03-06,9.8,22.0,11.5,
2020-03-07,13.5,14.0,6.0,
2020-03-08,15.1,10.0,4.2,
2020-03-09,11.8,12.0,5.1,
2020-03-10,12.6,13.0,6.0,
2020-03-11,13.5,13.0,5.1,
2020-03-12,12.2,12.0,3.2,
2020-03-13,8.2,11.0,4.2,
2020-03-14,7.4,11.0,4.2,
2020-03-15,5.7,18.0,4.2,3.7142857142857144
2020-03-16,7.0,18.0,6.9,4.571428571428571
2020-03-17,3.7,19.0,5.1,5.428571428571429
2020-03-18,12.6,23.0,9.2,5.857142857142857
2020-03-19,7.8,4.0,3.2,7.857142857142857
2020-03-20,12.2,13.0,4.6,10.0
2020-03-21,15.5,18.0,11.9,11.571428571428571
2020-03-22,15.1,10.0,6.0,14.571428571428571
2020-03-23,15.9,12.0,6.9,17.142857142857142
2020-03-24,12.2,12.0,6.4,19.285714285714285
2020-03-25,15.1,16.0,8.3,24.142857142857142
2020-03-26,10.2,22.0,4.2,28.714285714285715
2020-03-27,13.5,14.0,4.2,33.285714285714285
2020-03-28,16.7,8.0,2.8,38.42857142857143
2020-03-29,15.1,6.0,3.7,40.42857142857143
2020-03-30,13.9,15.0,6.4,45.285714285714285
2020-03-31,15.1,12.0,5.5,51.857142857142854
2020-04-01,12.2,18.0,6.4,53.142857142857146
2020-04-02,7.8,6.0,2.8,54.42857142857143
2020-04-03,11.0,11.0,4.6,57.714285714285715
2020-04-04,11.8,12.0,4.2,57.42857142857143
2020-04-05,13.0,11.0,4.6,59.57142857142857
2020-04-06,15.1,15.0,6.9,54.57142857142857
2020-04-07,17.9,16.0,5.1,49.285714285714285
2020-04-08,13.9,22.0,4.6,48.714285714285715
2020-04-09,13.5,29.0,3.2,55.42857142857143
2020-04-10,18.3,23.0,5.1,56.714285714285715
2020-04-11,17.1,12.0,4.2,59.0
2020-04-12,14.7,10.0,1.4,60.285714285714285
2020-04-13,14.3,10.0,2.8,71.28571428571429
2020-04-14,16.3,13.0,6.0,74.0
2020-04-15,15.9,12.0,3.2,77.28571428571429
2020-04-16,14.3,9.0,4.2,74.0
2020-04-17,13.0,22.0,13.8,74.71428571428571
2020-04-18,13.0,19.0,9.2,77.28571428571429
2020-04-19,15.5,10.0,2.8,76.71428571428571
2020-04-20,15.5,15.0,5.5,76.28571428571429
2020-04-21,17.1,19.0,6.9,86.0
2020-04-22,15.9,18.0,7.4,86.14285714285714
2020-04-23,17.5,12.0,2.3,89.0
2020-04-24,14.3,8.0,2.8,107.0
2020-04-25,15.5,10.0,3.2,109.14285714285714
2020-04-26,15.5,10.0,3.7,114.14285714285714
2020-04-27,15.9,15.0,5.5,114.57142857142857
2020-04-28,16.3,16.0,2.3,112.42857142857143
2020-04-29,16.3,18.0,4.2,117.0
2020-04-30,13.0,23.0,9.2,118.42857142857143
2020-05-01,15.9,29.0,4.2,101.0
2020-05-02,12.2,14.0,1.9,105.0
2020-05-03,15.9,14.0,2.3,108.85714285714286
2020-05-04,17.1,10.0,2.3,106.57142857142857
2020-05-05,17.5,15.0,3.7,107.85714285714286
2020-05-06,15.5,21.0,5.1,112.0
2020-05-07,16.3,29.0,3.7,114.0
2020-05-08,15.9,12.0,2.3,114.28571428571429
2020-05-09,16.3,12.0,1.4,111.28571428571429
2020-05-10,15.5,13.0,1.9,103.57142857142857
2020-05-11,9.0,21.0,4.6,98.57142857142857
2020-05-12,9.0,29.0,5.1,91.57142857142857
2020-05-13,14.7,20.0,5.1,82.85714285714286
2020-05-14,16.3,20.0,2.8,80.0
2020-05-15,15.5,12.0,3.2,80.0
2020-05-16,15.9,10.0,1.9,78.14285714285714
2020-05-17,14.7,11.0,2.8,83.71428571428571
2020-05-18,17.5,20.0,4.2,86.0
2020-05-19,20.8,25.0,4.2,86.14285714285714
2020-05-20,19.9,19.0,2.3,86.28571428571429
2020-05-21,18.7,16.0,3.2,84.14285714285714
2020-05-22,21.2,19.0,4.2,86.28571428571429
2020-05-23,20.4,21.0,3.2,86.14285714285714
2020-05-24,14.7,10.0,2.3,73.85714285714286
2020-05-25,13.5,6.0,2.8,70.85714285714286
2020-05-26,13.0,12.0,5.5,68.42857142857143
2020-05-27,11.4,14.0,6.0,65.42857142857143
2020-05-28,14.3,18.0,3.7,69.42857142857143
2020-05-29,13.0,19.0,4.2,73.28571428571429
2020-05-30,15.5,18.0,3.2,77.0
2020-05-31,14.3,11.0,2.8,86.0
2020-06-01,14.7,17.0,5.5,83.71428571428571
2020-06-02,15.5,23.0,4.2,83.57142857142857
2020-06-03,13.5,29.0,5.1,85.85714285714286
2020-06-04,15.1,21.0,4.6,77.57142857142857
2020-06-05,16.3,19.0,4.2,67.42857142857143
2020-06-06,14.3,16.0,4.6,55.57142857142857
2020-06-07,14.3,13.0,3.2,47.285714285714285
2020-06-08,18.7,18.0,1.9,48.0
2020-06-09,15.9,7.0,1.9,46.0
2020-06-10,12.6,10.0,3.2,41.0
2020-06-11,15.9,14.0,4.2,36.42857142857143
2020-06-12,20.4,20.0,3.2,30.857142857142858
2020-06-13,17.5,26.0,3.7,31.714285714285715
2020-06-14,19.1,12.0,1.4,32.0
2020-06-15,22.0,27.0,6.0,34.0
2020-06-16,17.9,29.0,5.1,32.142857142857146
2020-06-17,16.3,36.0,5.1,34.42857142857143
2020-06-18,15.1,20.0,2.3,37.285714285714285
2020-06-19,12.6,14.0,4.6,44.0
2020-06-20,15.1,13.0,4.6,43.142857142857146
2020-06-21,13.5,12.0,3.2,42.857142857142854
2020-06-22,17.1,15.0,4.2,41.0
2020-06-23,15.5,20.0,4.2,42.714285714285715
2020-06-24,14.7,17.0,4.6,47.142857142857146
2020-06-25,15.1,18.0,5.1,48.857142857142854
2020-06-26,14.7,16.0,4.2,48.0
2020-06-27,20.4,11.0,3.2,49.142857142857146
2020-06-28,17.1,15.0,4.2,53.857142857142854
2020-06-29,15.1,24.0,6.9,57.42857142857143
2020-06-30,19.9,21.0,3.2,55.857142857142854
2020-07-01,21.6,22.0,2.3,53.42857142857143
2020-07-02,17.9,36.0,4.2,56.142857142857146
2020-07-03,17.1,31.0,2.8,54.42857142857143
2020-07-04,16.3,15.0,2.8,53.142857142857146
2020-07-05,15.9,11.0,2.3,48.142857142857146
2020-07-06,17.5,16.0,4.2,46.714285714285715
2020-07-07,17.1,15.0,2.8,55.142857142857146
2020-07-08,16.3,21.0,5.5,59.142857142857146
2020-07-09,20.4,35.0,3.7,60.42857142857143
2020-07-10,19.9,31.0,4.6,68.14285714285714
2020-07-11,20.4,23.0,2.3,73.28571428571429
2020-07-12,20.4,26.0,2.3,79.71428571428571
2020-07-13,15.5,29.0,5.5,80.0
2020-07-14,15.1,29.0,4.2,76.28571428571429
2020-07-15,16.7,22.0,3.7,76.42857142857143
2020-07-16,14.3,21.0,7.4,73.28571428571429
2020-07-17,15.9,19.0,5.1,70.71428571428571
2020-07-18,16.7,18.0,3.7,69.71428571428571
2020-07-19,16.3,22.0,2.8,67.0
2020-07-20,17.1,22.0,3.7,68.14285714285714
2020-07-21,17.1,27.0,3.7,74.42857142857143
2020-07-22,16.7,28.0,4.6,78.85714285714286
2020-07-23,11.8,20.0,7.4,92.14285714285714
2020-07-24,17.5,18.0,3.7,97.85714285714286
2020-07-25,13.5,10.0,3.7,111.57142857142857
2020-07-26,15.5,10.0,2.8,119.14285714285714
2020-07-27,18.7,15.0,3.7,118.14285714285714
2020-07-28,14.7,19.0,4.6,122.14285714285714
2020-07-29,16.7,18.0,3.7,118.85714285714286
2020-07-30,17.5,15.0,3.7,102.85714285714286
2020-07-31,18.7,17.0,5.5,97.71428571428571
2020-08-01,16.7,15.0,4.2,84.57142857142857
2020-08-02,17.5,17.0,2.8,81.85714285714286
2020-08-03,17.1,24.0,4.2,79.57142857142857
2020-08-04,19.9,28.0,4.2,69.85714285714286
2020-08-05,17.1,30.0,5.5,69.42857142857143
2020-08-06,16.7,23.0,5.5,74.71428571428571
2020-08-07,16.7,20.0,5.1,71.28571428571429
2020-08-08,15.1,21.0,5.5,68.57142857142857
2020-08-09,18.3,24.0,4.2,63.714285714285715
2020-08-10,16.3,35.0,4.2,64.28571428571429
2020-08-11,15.1,35.0,7.4,63.285714285714285
2020-08-12,15.5,38.0,6.4,57.42857142857143
2020-08-13,16.7,44.0,6.9,53.42857142857143
2020-08-14,16.7,50.0,5.1,49.857142857142854
2020-08-15,13.9,41.0,4.6,47.857142857142854
2020-08-16,18.3,38.0,4.2,49.714285714285715
2020-08-17,19.1,44.0,4.2,49.142857142857146
2020-08-18,17.1,42.0,6.9,47.42857142857143
2020-08-19,15.5,46.0,6.0,45.857142857142854
2020-08-20,19.9,48.0,5.5,43.714285714285715
2020-08-21,17.1,51.0,6.9,45.42857142857143
2020-08-22,21.6,58.0,7.4,47.714285714285715
2020-08-23,24.0,56.0,6.9,47.0
2020-08-24,22.0,57.0,8.7,46.285714285714285
2020-08-25,23.6,48.0,7.8,55.285714285714285
2020-08-26,20.8,32.0,6.0,56.42857142857143
2020-08-27,18.3,20.0,6.0,57.57142857142857
2020-08-28,17.1,25.0,5.5,61.714285714285715
2020-08-29,14.3,19.0,6.0,60.57142857142857
2020-08-30,19.5,15.0,3.2,57.142857142857146
2020-08-31,17.1,30.0,3.7,54.42857142857143
2020-09-01,13.0,19.0,4.6,56.142857142857146
2020-09-02,14.3,18.0,8.3,45.42857142857143
2020-09-03,13.5,48.0,4.2,41.285714285714285
2020-09-04,11.0,39.0,9.2,38.57142857142857
2020-09-05,14.7,27.0,5.1,40.42857142857143
2020-09-06,12.6,30.0,5.5,39.285714285714285
2020-09-07,14.3,58.0,3.2,41.714285714285715
2020-09-08,6.5,2.0,2.8,38.857142857142854
2020-09-09,7.0,8.0,3.7,36.142857142857146
2020-09-10,7.4,16.0,5.1,37.285714285714285
2020-09-11,9.8,23.0,7.8,38.285714285714285
2020-09-12,12.2,17.0,6.4,40.142857142857146
2020-09-13,13.0,15.0,5.5,45.142857142857146
2020-09-14,15.9,20.0,6.9,46.57142857142857
2020-09-15,11.8,33.0,8.7,56.714285714285715
2020-09-16,16.3,59.0,6.9,66.14285714285714
2020-09-17,11.8,61.0,10.6,74.42857142857143
2020-09-18,13.9,71.0,11.9,79.14285714285714
2020-09-19,15.5,42.0,8.7,79.0
2020-09-20,15.5,32.0,5.1,86.57142857142857
2020-09-21,13.5,39.0,8.3,90.14285714285714
2020-09-22,13.9,31.0,9.2,87.85714285714286
2020-09-23,9.8,37.0,11.0,94.71428571428571
2020-09-24,14.3,31.0,9.2,96.71428571428571
2020-09-25,13.5,53.0,11.5,100.85714285714286
2020-09-26,14.7,44.0,4.6,99.71428571428571
2020-09-27,13.0,25.0,2.3,99.14285714285714
2020-09-28,12.6,20.0,4.2,103.85714285714286
2020-09-29,11.8,24.0,6.9,101.0
2020-09-30,9.4,42.0,7.4,98.0
2020-10-01,10.2,35.0,6.9,99.14285714285714
2020-10-02,12.6,53.0,9.6,98.71428571428571
2020-10-03,9.4,42.0,6.9,106.28571428571429
2020-10-04,13.0,29.0,4.2,102.57142857142857
2020-10-05,12.2,52.0,9.6,102.14285714285714
2020-10-06,11.0,51.0,11.0,105.42857142857143
2020-10-07,15.1,62.0,12.8,115.42857142857143
2020-10-08,9.8,66.0,15.1,123.42857142857143
2020-10-09,12.2,48.0,9.6,119.0
2020-10-10,12.6,53.0,11.0,130.14285714285714
2020-10-11,15.5,20.0,4.2,141.0
2020-10-12,14.7,15.0,6.0,144.85714285714286
2020-10-13,11.4,36.0,10.1,152.42857142857142
2020-10-14,13.5,28.0,2.8,148.42857142857142
2020-10-15,13.0,16.0,2.8,154.71428571428572
2020-10-16,7.8,30.0,8.7,168.0
2020-10-17,11.0,27.0,2.8,165.0
2020-10-18,6.1,18.0,2.8,169.14285714285714
2020-10-19,1.7,50.0,11.9,163.85714285714286
2020-10-20,7.8,36.0,11.9,164.14285714285714
2020-10-21,4.9,57.0,13.3,172.0
2020-10-22,4.9,19.0,4.6,171.42857142857142
2020-10-23,6.5,20.0,5.1,178.71428571428572
2020-10-24,4.9,37.0,9.6,207.14285714285714
2020-10-25,10.6,12.0,2.8,235.28571428571428
2020-10-26,8.6,14.0,6.4,252.14285714285714
2020-10-27,9.0,24.0,14.7,269.7142857142857
2020-10-28,8.6,15.0,11.9,277.85714285714283
2020-10-29,6.5,20.0,11.9,297.0
2020-10-30,7.4,20.0,11.5,328.7142857142857
2020-10-31,8.6,18.0,7.4,323.85714285714283
2020-11-01,7.8,23.0,11.5,353.7142857142857
2020-11-02,8.2,27.0,14.7,356.14285714285717
2020-11-03,7.4,35.0,13.3,371.7142857142857
2020-11-04,7.0,23.0,10.6,399.14285714285717
2020-11-05,10.6,24.0,10.6,448.57142857142856
2020-11-06,9.0,39.0,16.0,432.57142857142856
2020-11-07,13.0,18.0,3.7,481.42857142857144
2020-11-08,20.4,10.0,1.4,491.57142857142856
2020-11-09,5.3,11.0,5.1,523.7142857142857
2020-11-10,11.4,14.0,8.3,542.7142857142857
2020-11-11,9.4,14.0,8.3,583.0
2020-11-12,9.8,16.0,11.0,601.7142857142857
2020-11-13,10.2,14.0,14.2,646.5714285714286
2020-11-14,15.9,10.0,2.3,629.7142857142857
2020-11-15,10.2,9.0,6.0,631.0
2020-11-16,4.5,17.0,13.3,659.0
2020-11-17,7.4,21.0,11.9,669.7142857142857
2020-11-18,7.4,25.0,13.8,686.7142857142857
2020-11-19,9.8,23.0,9.6,647.7142857142857
2020-11-20,11.8,17.0,5.1,684.1428571428571
2020-11-21,7.8,24.0,8.3,681.5714285714286
2020-11-22,7.4,20.0,13.3,692.8571428571429
2020-11-23,4.1,52.0,17.0,678.5714285714286
2020-11-24,10.2,12.0,7.8,677.4285714285714
2020-11-25,9.8,23.0,15.6,676.2857142857143
2020-11-26,12.2,12.0,7.4,634.8571428571429
2020-11-27,8.2,20.0,11.9,606.7142857142857
2020-11-28,9.8,14.0,13.3,592.1428571428571
2020-11-29,9.8,10.0,6.9,540.2857142857143
2020-11-30,9.8,17.0,14.7,518.4285714285714
2020-12-01,10.2,17.0,7.8,492.85714285714283
2020-12-02,9.0,13.0,7.4,446.0
2020-12-03,6.5,20.0,15.1,525.8571428571429
2020-12-04,9.4,24.0,16.0,434.0
2020-12-05,8.6,14.0,11.9,478.57142857142856
2020-12-06,8.6,12.0,11.0,494.2857142857143
2020-12-07,8.2,26.0,15.1,485.14285714285717
2020-12-08,8.6,34.0,16.5,470.42857142857144
2020-12-09,9.8,32.0,16.5,445.0
2020-12-10,6.5,25.0,9.2,409.7142857142857
2020-12-11,7.0,10.0,6.4,486.14285714285717
2020-12-12,4.9,22.0,11.9,429.7142857142857
2020-12-13,7.4,15.0,10.1,427.6428571428571
2020-12-14,8.2,21.0,14.7,425.57142857142856
2020-12-15,8.2,12.0,11.9,415.14285714285717
2020-12-16,7.0,16.0,16.0,411.0
2020-12-17,10.6,25.0,18.8,418.0
2020-12-18,6.1,17.0,18.8,389.85714285714283
2020-12-19,10.6,11.0,9.2,345.2857142857143
2020-12-20,11.8,8.0,6.4,323.42857142857144
2020-12-21,10.6,12.0,4.2,292.42857142857144
2020-12-22,11.8,12.0,6.9,290.0
2020-12-23,12.2,11.0,4.2,296.42857142857144
2020-12-24,14.7,10.0,4.2,277.2857142857143
2020-12-25,10.6,10.0,6.9,272.14285714285717
2020-12-26,9.8,10.0,7.8,258.57142857142856
2020-12-27,14.7,5.0,2.8,245.14285714285714
2020-12-28,3.3,12.0,10.1,229.14285714285714
2020-12-29,5.7,20.0,11.5,221.71428571428572
2020-12-30,7.8,20.0,12.4,241.0
2020-12-31,3.7,33.0,18.3,255.85714285714286
2021-01-01,7.0,19.0,16.0,252.14285714285714
2021-01-02,14.3,10.0,6.0,255.85714285714286
2021-01-03,15.1,8.0,5.1,266.14285714285717
2021-01-04,12.6,17.0,9.6,271.0
2021-01-05,11.0,13.0,15.1,390.14285714285717
2021-01-06,7.4,17.0,12.8,376.85714285714283
2021-01-07,3.7,33.0,16.0,421.0
2021-01-08,7.8,21.0,14.2,432.0
2021-01-09,6.1,13.0,9.2,444.14285714285717
2021-01-10,7.0,16.0,6.9,455.0
2021-01-11,9.0,29.0,14.7,460.0
2021-01-12,10.2,25.0,17.4,334.0
2021-01-13,11.0,15.0,11.0,337.57142857142856
2021-01-14,13.9,13.0,3.7,280.85714285714283
2021-01-15,6.5,18.0,12.4,267.14285714285717
2021-01-16,10.2,10.0,6.0,257.57142857142856
2021-01-17,10.6,8.0,5.5,243.0
2021-01-18,11.0,10.0,3.7,233.57142857142858
2021-01-19,10.6,11.0,6.9,234.14285714285714
2021-01-20,13.0,14.0,6.9,203.28571428571428
2021-01-21,5.7,20.0,11.5,197.42857142857142
2021-01-22,4.5,31.0,13.3,178.0
2021-01-23,7.0,27.0,11.0,173.28571428571428
2021-01-24,7.4,20.0,4.6,176.42857142857142
2021-01-25,9.4,19.0,5.1,174.28571428571428
2021-01-26,6.1,12.0,4.6,169.57142857142858
2021-01-27,3.7,27.0,17.9,176.0
2021-01-28,1.3,43.0,22.9,271.57142857142856
2021-01-29,2.9,36.0,17.9,272.92857142857144
2021-01-30,13.0,11.0,7.4,274.2857142857143
2021-01-31,9.0,9.0,9.2,264.85714285714283
2021-02-01,7.4,33.0,18.3,253.71428571428572
2021-02-02,6.1,25.0,15.1,248.85714285714286
2021-02-03,9.4,15.0,8.3,256.7142857142857
2021-02-04,13.9,10.0,5.1,253.42857142857142
2021-02-05,14.3,10.0,4.2,151.28571428571428
2021-02-06,13.9,10.0,5.1,148.42857142857142
2021-02-07,13.9,17.0,3.2,149.85714285714286
2021-02-08,4.1,31.0,6.4,151.14285714285714
2021-02-09,2.5,35.0,8.3,157.42857142857142
2021-02-10,2.5,30.0,7.4,133.42857142857142
2021-02-11,5.3,26.0,5.5,171.28571428571428
2021-02-12,7.0,22.0,5.5,151.28571428571428
2021-02-13,8.6,17.0,4.2,161.42857142857142
2021-02-14,11.4,12.0,3.2,151.0
2021-02-15,5.7,30.0,16.0,143.85714285714286
2021-02-16,8.6,30.0,19.2,136.71428571428572
2021-02-17,9.4,19.0,11.0,150.85714285714286
2021-02-18,10.2,12.0,11.0,107.0
2021-02-19,10.2,13.0,10.6,121.42857142857143
2021-02-20,11.0,9.0,6.4,119.21428571428572
2021-02-21,15.1,6.0,3.7,117.0
2021-02-22,12.6,10.0,7.8,114.28571428571429
2021-02-23,13.5,11.0,7.8,139.57142857142858
2021-02-24,14.7,10.0,4.2,149.28571428571428
2021-02-25,11.0,11.0,8.7,155.14285714285714
2021-02-26,9.0,20.0,17.0,178.0
2021-02-27,14.7,10.0,4.2,169.14285714285714
2021-02-28,15.1,7.0,6.4,152.14285714285714
2021-03-01,10.6,17.0,11.9,155.85714285714286
2021-03-02,9.4,18.0,13.8,130.42857142857142
2021-03-03,9.0,18.0,8.3,128.85714285714286
2021-03-04,9.4,21.0,10.6,128.28571428571428
2021-03-05,11.0,16.0,9.6,122.14285714285714
2021-03-06,12.2,13.0,8.7,127.0
2021-03-07,14.3,12.0,4.6,121.57142857142857
2021-03-08,9.8,20.0,13.8,133.71428571428572
2021-03-09,13.9,26.0,7.8,149.28571428571428
2021-03-10,12.2,14.0,4.6,161.71428571428572
2021-03-11,9.8,20.0,7.4,162.14285714285714
2021-03-12,11.0,20.0,4.6,150.42857142857142
2021-03-13,6.5,6.0,3.7,154.0
2021-03-14,12.2,4.0,3.2,177.71428571428572
2021-03-15,13.9,12.0,9.2,163.42857142857142
2021-03-16,12.2,20.0,12.8,141.85714285714286
2021-03-17,14.7,14.0,6.0,111.71428571428571
2021-03-18,12.2,26.0,12.8,116.42857142857143
2021-03-19,12.6,51.0,19.2,116.0
2021-03-20,12.6,44.0,14.7,127.42857142857143
2021-03-21,14.3,10.0,4.2,112.85714285714286
2021-03-22,13.0,17.0,8.3,112.57142857142857
2021-03-23,13.9,15.0,5.5,137.0
2021-03-24,12.6,14.0,5.5,174.85714285714286
2021-03-25,15.9,15.0,5.5,173.71428571428572
2021-03-26,14.3,14.0,5.1,177.42857142857142
2021-03-27,15.5,12.0,3.7,168.0
2021-03-28,13.9,12.0,4.6,172.57142857142858
2021-03-29,17.1,22.0,8.3,172.0
2021-03-30,17.1,13.0,2.8,180.14285714285714
2021-03-31,16.3,17.0,4.2,180.57142857142858
2021-04-01,13.0,24.0,8.3,178.42857142857142
2021-04-02,14.3,25.0,7.8,178.85714285714286
2021-04-03,13.9,19.0,5.5,182.71428571428572
2021-04-04,13.9,16.0,4.6,179.71428571428572
2021-04-05,12.6,23.0,4.6,185.28571428571428
2021-04-06,15.5,38.0,3.2,192.57142857142858
2021-04-07,13.5,15.0,3.7,210.57142857142858
2021-04-08,17.5,18.0,3.2,228.57142857142858
2021-04-09,15.5,18.0,2.3,237.71428571428572
2021-04-10,13.5,16.0,6.9,237.71428571428572
2021-04-11,16.7,20.0,1.9,233.14285714285714
2021-04-12,13.9,21.0,3.2,228.71428571428572
2021-04-13,13.9,22.0,2.8,247.28571428571428
2021-04-14,11.0,26.0,4.6,284.57142857142856
2021-04-15,8.2,23.0,6.0,243.85714285714286
2021-04-16,10.2,9.0,4.2,242.71428571428572
2021-04-17,14.7,10.0,3.7,239.28571428571428
2021-04-18,15.9,10.0,4.6,239.85714285714286
2021-04-19,10.2,7.0,4.2,237.57142857142858
2021-04-20,17.1,10.0,3.7,241.71428571428572
2021-04-21,11.8,15.0,5.5,185.0
2021-04-22,11.4,25.0,6.9,172.57142857142858
2021-04-23,13.5,19.0,8.3,169.0
2021-04-24,11.8,28.0,7.4,173.42857142857142
2021-04-25,17.5,20.0,5.5,171.28571428571428
2021-04-26,15.1,19.0,6.9,197.42857142857144
2021-04-27,13.5,17.0,3.7,223.57142857142858
2021-04-28,13.5,10.0,4.2,215.57142857142858
2021-04-29,12.2,15.0,7.4,230.57142857142858
2021-04-30,14.7,17.0,5.1,227.85714285714286
2021-05-01,15.1,14.0,4.2,226.85714285714286
2021-05-02,14.3,10.0,3.7,208.57142857142858
2021-05-03,11.8,7.0,5.1,198.85714285714286
2021-05-04,12.2,12.0,6.9,152.14285714285714
2021-05-05,14.7,12.0,5.1,149.28571428571428
2021-05-06,15.5,20.0,6.9,130.71428571428572
2021-05-07,14.7,21.0,6.9,130.42857142857142
2021-05-08,17.5,20.0,3.2,125.14285714285714
2021-05-09,15.5,8.0,1.9,129.28571428571428
2021-05-10,9.8,8.0,5.1,127.57142857142857
2021-05-11,10.6,8.0,5.5,129.71428571428572
2021-05-12,11.8,13.0,7.8,114.0
2021-05-13,13.0,17.0,6.4,116.14285714285714
2021-05-14,13.9,24.0,6.9,122.14285714285714
2021-05-15,13.0,26.0,5.1,109.57142857142857
2021-05-16,8.6,20.0,5.5,103.57142857142857
2021-05-17,12.2,17.0,7.8,100.85714285714286
2021-05-18,12.6,12.0,6.9,89.28571428571429
2021-05-20,14.7,20.0,6.9,77.42857142857143
2021-05-21,15.5,25.0,4.6,58.57142857142857
2021-05-22,7.4,20.0,3.7,53.714285714285715
2021-05-23,16.7,14.0,3.2,50.0
2021-05-24,18.7,19.0,4.6,50.857142857142854
2021-05-25,18.7,16.0,3.7,54.42857142857143
2021-05-26,15.9,22.0,6.0,55.57142857142857
2021-05-27,16.3,19.0,2.8,49.857142857142854
2021-05-28,16.7,22.0,5.1,51.857142857142854
2021-05-29,13.0,23.0,3.7,57.142857142857146
2021-06-01,12.6,12.0,6.9,49.42857142857143
2021-06-04,18.3,24.0,,46.42857142857143
2021-06-05,19.1,22.0,4.6,47.714285714285715
2021-06-06,17.1,15.0,3.2,48.0
2021-06-07,17.1,20.0,6.0,48.285714285714285
2021-06-08,15.9,31.0,7.4,52.0
2021-06-09,20.8,26.0,3.2,51.857142857142854
2021-06-10,19.5,34.0,8.3,51.714285714285715
2021-06-11,19.1,39.0,2.8,64.85714285714286
2021-06-12,17.5,41.0,6.0,63.142857142857146
2021-06-13,19.1,34.0,3.2,62.714285714285715
2021-06-14,20.8,29.0,4.6,62.42857142857143
2021-06-15,17.9,36.0,6.0,59.714285714285715
2021-06-16,16.7,44.0,8.7,57.42857142857143
2021-06-17,19.1,40.0,6.0,53.142857142857146
2021-06-18,17.9,38.0,5.5,39.57142857142857
2021-06-19,18.3,26.0,4.6,33.857142857142854
2021-06-20,18.7,21.0,2.8,29.285714285714285
2021-06-21,14.3,10.0,3.7,28.285714285714285
2021-06-22,16.3,29.0,6.4,26.857142857142858
2021-06-23,17.1,33.0,8.7,25.285714285714285
2021-06-24,17.5,23.0,4.6,28.142857142857142
2021-06-25,13.9,14.0,4.6,25.428571428571427
