,o3,pm10,no2,cases
2019-12-30,21.6,9.0,9.3,
2019-12-31,22.4,11.0,6.5,
2020-01-01,23.3,11.0,2.8,
2020-01-02,25.6,9.0,1.9,
2020-01-03,18.4,9.0,6.5,
2020-01-04,16.0,10.0,6.5,
2020-01-05,14.5,16.0,13.9,
2020-01-06,19.2,24.0,10.2,
2020-01-07,15.2,20.0,13.0,
2020-01-08,15.2,20.0,13.0,
2020-01-09,24.8,16.0,2.8,
2020-01-10,28.1,13.0,2.8,
2020-01-11,19.2,10.0,8.4,
2020-01-12,18.4,14.0,8.4,
2020-01-13,14.5,20.0,12.1,
2020-01-14,12.1,22.0,14.9,
2020-01-15,4.8,46.0,20.4,
2020-01-16,12.8,22.0,11.2,
2020-01-17,15.2,13.0,7.5,
2020-01-18,24.1,10.0,5.6,
2020-01-19,24.8,13.0,7.5,
2020-01-20,25.6,12.0,5.6,
2020-01-21,15.2,14.0,13.9,
2020-01-22,19.2,10.0,2.8,
2020-01-23,16.0,10.0,4.7,
2020-01-24,14.5,25.0,14.9,
2020-01-25,22.4,16.0,7.5,
2020-01-26,19.2,12.0,4.7,
2020-01-27,27.2,13.0,1.9,
2020-01-28,24.8,10.0,4.7,
2020-01-29,24.8,21.0,12.1,
2020-01-30,24.8,18.0,5.6,
2020-01-31,25.6,14.0,3.8,
2020-02-01,21.6,13.0,6.5,
2020-02-02,18.4,24.0,5.6,
2020-02-03,28.9,29.0,1.9,
2020-02-04,28.1,13.0,2.8,
2020-02-05,24.8,9.0,2.8,
2020-02-06,24.8,15.0,3.8,
2020-02-07,25.6,13.0,2.8,
2020-02-08,23.3,11.0,1.9,
2020-02-09,24.8,12.0,2.8,
2020-02-10,21.6,10.0,4.7,
2020-02-11,17.6,8.0,4.7,
2020-02-12,20.8,7.0,2.8,
2020-02-13,13.6,20.0,9.3,
2020-02-14,15.2,22.0,12.1,
2020-02-15,27.2,13.0,5.6,
2020-02-16,28.1,10.0,1.9,
2020-02-17,27.2,11.0,2.8,
2020-02-18,24.8,19.0,7.5,
2020-02-19,24.1,22.0,9.3,
2020-02-20,20.8,24.0,4.7,
2020-02-21,19.2,16.0,6.5,
2020-02-22,18.4,20.0,8.4,
2020-02-23,33.6,16.0,1.9,
2020-02-24,28.1,10.0,2.8,
2020-02-25,31.2,14.0,2.8,
2020-02-26,27.2,18.0,5.6,
2020-02-27,20.0,18.0,8.4,
2020-02-28,15.2,22.0,14.9,
2020-02-29,25.6,22.0,11.2,
2020-03-01,28.1,13.0,2.8,
2020-03-02,23.3,13.0,4.7,
2020-03-03,24.8,9.0,4.7,
2020-03-04,33.6,8.0,3.8,
2020-03-05,23.3,19.0,11.2,
2020-03-06,28.9,17.0,5.6,
2020-03-07,26.4,20.0,7.5,
2020-03-08,20.0,9.0,1.9,
2020-03-09,18.4,9.0,2.8,
2020-03-10,17.6,14.0,5.6,
2020-03-11,16.0,15.0,4.7,
2020-03-12,19.2,9.0,2.8,
2020-03-13,22.4,9.0,4.7,
2020-03-14,28.1,11.0,6.5,
2020-03-15,21.6,20.0,6.5,
2020-03-16,19.2,16.0,8.4,
2020-03-17,19.2,21.0,8.4,
2020-03-18,15.2,11.0,9.3,
2020-03-19,34.4,8.0,1.9,
2020-03-20,29.6,18.0,5.6,
2020-03-21,28.9,16.0,4.7,
2020-03-22,30.4,12.0,3.8,
2020-03-23,35.2,20.0,2.8,
2020-03-24,30.4,13.0,3.8,
2020-03-25,28.1,17.0,6.5,
2020-03-26,25.6,24.0,1.9,
2020-03-27,32.0,52.0,1.9,
2020-03-28,36.8,11.0,1.9,4.857142857142857
2020-03-29,29.6,18.0,4.7,5.428571428571429
2020-03-30,35.2,17.0,3.8,6.285714285714286
2020-03-31,28.1,20.0,7.5,6.285714285714286
2020-04-01,35.2,20.0,2.8,7.142857142857142
2020-04-02,36.8,18.0,2.8,8.0
2020-04-03,28.9,17.0,1.9,7.571428571428571
2020-04-04,29.6,21.0,5.6,9.428571428571429
2020-04-05,31.2,11.0,2.8,10.142857142857142
2020-04-06,29.6,18.0,2.8,12.142857142857142
2020-04-07,29.6,16.0,2.8,15.142857142857142
