,o3,pm10,no2,cases
2019-12-30,10.6,5.0,3.2,
2019-12-31,10.2,4.0,2.8,
2020-01-01,7.8,7.0,3.7,
2020-01-02,7.0,14.0,8.7,
2020-01-03,2.5,19.0,11.9,
2020-01-04,1.3,16.0,8.3,
2020-01-05,11.4,3.0,1.0,
2020-01-06,5.7,11.0,8.7,
2020-01-07,5.3,16.0,10.1,
2020-01-08,11.4,11.0,5.5,
2020-01-09,11.4,7.0,2.3,
2020-01-10,4.1,17.0,11.5,
2020-01-11,13.0,20.0,3.7,
2020-01-12,12.2,8.0,1.0,
2020-01-13,3.7,14.0,6.4,
2020-01-14,4.1,16.0,6.9,
2020-01-15,4.9,13.0,5.1,
2020-01-16,11.4,9.0,2.8,
2020-01-17,13.9,9.0,1.4,
2020-01-18,11.4,10.0,4.2,
2020-01-19,7.4,14.0,5.5,
2020-01-20,14.3,9.0,1.9,
2020-01-21,12.6,13.0,8.3,
2020-01-22,4.5,24.0,16.5,
2020-01-23,3.3,35.0,16.5,
2020-01-24,4.5,36.0,15.1,
2020-01-25,11.8,12.0,4.2,
2020-01-26,6.1,7.0,4.6,
2020-01-27,7.0,7.0,3.2,
2020-01-28,11.0,4.0,1.9,
2020-01-29,14.7,5.0,1.4,
2020-01-30,11.4,10.0,4.6,
2020-01-31,7.8,20.0,13.3,
2020-02-01,5.7,21.0,11.0,
2020-02-02,12.6,14.0,3.7,
2020-02-03,5.7,15.0,8.3,
2020-02-04,3.3,23.0,10.6,
2020-02-05,11.4,8.0,2.3,
2020-02-06,7.0,10.0,5.1,
2020-02-07,7.4,7.0,4.2,
2020-02-08,13.5,7.0,2.3,
2020-02-09,9.4,11.0,4.2,
2020-02-10,8.2,17.0,9.2,
2020-02-11,1.3,12.0,8.3,
2020-02-12,14.7,10.0,1.9,
2020-02-13,6.5,11.0,9.6,
2020-02-14,15.5,8.0,1.4,
2020-02-15,13.9,10.0,3.7,
2020-02-16,11.0,14.0,6.0,
2020-02-17,16.3,15.0,7.8,
2020-02-18,4.9,15.0,8.7,
2020-02-19,15.1,7.0,2.3,
2020-02-20,15.5,7.0,2.3,
2020-02-21,14.3,8.0,2.8,
2020-02-22,8.2,14.0,7.8,
2020-02-23,13.0,24.0,8.7,
2020-02-24,14.7,18.0,9.2,
2020-02-25,7.4,26.0,9.2,
2020-02-26,9.8,20.0,5.1,
2020-02-27,16.3,4.0,1.4,
2020-02-28,15.5,8.0,3.2,
2020-02-29,14.7,8.0,2.3,
2020-03-01,13.9,7.0,2.3,
2020-03-02,4.5,19.0,11.5,
2020-03-03,15.9,20.0,6.4,
