,o3,pm10,no2,cases
2019-12-30,18.4,,,
2019-12-31,14.5,,,
2020-01-01,20.8,,,
2020-01-02,20.0,,2.8,
2020-01-03,23.3,,3.1,
2020-01-04,19.2,,1.3,
2020-01-05,20.8,,7.8,
2020-01-06,26.4,,13.3,
2020-01-07,23.3,,1.5,
2020-01-08,21.6,,3.0,
2020-01-09,26.4,,11.3,
2020-01-10,27.2,,,
2020-01-11,21.6,,,
2020-01-12,12.8,,,
2020-01-13,4.8,,,
2020-01-14,13.6,,,
2020-01-15,16.0,,,
2020-01-16,14.5,,,
2020-01-17,20.0,,,
2020-01-18,25.6,,,
2020-01-19,28.9,,,
2020-01-20,24.8,,,
2020-01-21,20.8,,,
2020-01-22,22.4,,,
2020-01-23,22.4,,,
2020-01-24,20.0,,,
2020-01-25,16.8,,,
2020-01-26,19.2,,,
2020-01-27,19.2,,,
2020-01-28,23.3,,,
2020-01-29,21.6,,,
2020-01-30,16.0,,,
2020-01-31,15.2,,,
2020-02-01,19.2,,,
2020-02-02,24.8,,,
2020-02-03,33.6,,,
2020-02-04,24.1,,,
2020-02-05,20.0,,,
2020-02-06,15.2,,,
2020-02-07,23.3,,,
2020-02-08,28.1,,,
2020-02-09,31.2,,,
2020-02-10,26.4,,,
2020-02-11,15.2,,,
2020-02-12,12.8,,,
2020-02-13,17.6,,,
2020-02-14,23.3,,,
2020-02-15,28.1,,,
2020-02-16,28.9,,,
2020-02-17,21.6,,,
2020-02-18,14.5,,,
2020-02-19,11.2,,,
2020-02-20,18.4,,,
2020-02-21,26.4,,,
2020-02-22,24.1,,,
2020-02-23,26.4,,,
2020-02-24,27.2,,,
2020-02-25,19.2,,,
2020-02-26,22.4,,,
2020-02-27,28.9,,,
2020-02-28,24.1,,,
2020-02-29,25.6,,,
2020-03-01,35.2,,,
2020-03-02,28.9,,,
2020-03-03,22.4,,,
2020-03-04,23.3,,,
2020-03-05,31.2,,,
2020-03-06,31.2,,,
2020-03-07,28.9,,,
2020-03-08,32.8,,,
2020-03-09,30.4,,,
2020-03-10,23.3,,,
2020-03-11,23.3,,,
2020-03-12,25.6,,,
2020-03-13,20.8,,,
2020-03-14,20.0,,,
2020-03-15,18.4,,,
2020-03-16,16.8,,,
2020-03-17,20.0,,,
2020-03-18,20.8,,,
2020-03-19,21.6,,,
2020-03-20,22.4,,,
2020-03-21,16.0,,,
2020-03-22,16.0,,,
2020-03-23,16.8,,,
2020-03-24,21.6,,,
2020-03-25,21.6,,,5.142857142857143
2020-03-26,35.2,,,5.285714285714286
2020-03-27,28.9,,,6.142857142857143
2020-03-28,26.4,,,6.285714285714286
2020-03-29,28.1,,,6.571428571428571
2020-03-30,26.4,,,7.142857142857143
2020-03-31,26.4,,,8.428571428571429
2020-04-01,28.1,,,10.142857142857142
2020-04-02,28.9,,,10.714285714285714
2020-04-03,25.6,,,12.714285714285714
2020-04-04,26.4,,,11.714285714285714
2020-04-05,25.6,,,12.571428571428571
2020-04-06,26.4,,,12.0
2020-04-07,21.6,,,11.285714285714286
2020-04-08,17.6,,,9.857142857142858
2020-04-09,27.2,,,12.142857142857142
2020-04-10,33.6,,,11.428571428571429
2020-04-11,30.4,,,13.428571428571429
2020-04-12,24.8,,,13.285714285714286
2020-04-13,22.4,,,14.428571428571429
2020-04-14,25.6,,,13.428571428571429
2020-04-15,28.9,,,14.571428571428571
2020-04-16,32.8,,,14.0
2020-04-17,29.6,,,13.571428571428571
2020-04-18,22.4,,,13.0
2020-04-19,16.8,,,12.857142857142858
2020-04-20,27.2,,,12.571428571428571
2020-04-21,22.4,,,13.428571428571429
2020-04-22,24.8,,,13.857142857142858
2020-04-23,28.9,,,11.714285714285714
2020-04-24,31.2,,,12.428571428571429
2020-04-25,29.6,,,12.428571428571429
2020-04-26,31.2,,,11.142857142857142
2020-04-27,29.6,,,10.571428571428571
2020-04-28,32.0,,,11.142857142857142
2020-04-29,35.2,,,10.428571428571429
2020-04-30,29.6,,,12.428571428571429
2020-05-01,34.4,,,13.571428571428571
2020-05-02,41.6,,,13.285714285714286
2020-05-03,36.1,,,13.142857142857142
2020-05-04,28.1,,,17.285714285714285
2020-05-05,28.1,,,18.571428571428573
2020-05-06,33.6,,,19.714285714285715
2020-05-07,33.6,,,18.571428571428573
2020-05-08,29.6,,,23.0
2020-05-09,28.1,,,22.571428571428573
2020-05-10,28.1,,,23.285714285714285
2020-05-11,29.6,,,19.0
2020-05-12,33.6,,,16.571428571428573
2020-05-13,33.6,,,15.714285714285714
2020-05-14,28.9,,,16.714285714285715
2020-05-15,24.8,,,12.571428571428571
2020-05-16,22.4,,,15.0
2020-05-17,29.6,,,14.714285714285714
2020-05-18,27.2,,,15.357142857142858
2020-05-19,28.1,,,16.0
2020-05-20,24.1,,,17.142857142857142
2020-05-21,21.6,,,18.285714285714285
2020-05-22,23.3,,,19.857142857142858
2020-05-23,20.0,,,19.0
2020-05-24,22.4,,,18.0
2020-05-25,21.6,,,18.0
2020-05-26,21.6,,,16.857142857142858
2020-05-27,29.6,,,17.142857142857142
2020-05-28,25.6,,,19.142857142857142
2020-05-29,32.8,,,16.571428571428573
2020-05-30,29.6,,,17.428571428571427
2020-05-31,28.1,,,16.142857142857142
2020-06-01,29.6,,,18.571428571428573
2020-06-02,26.4,,,18.714285714285715
2020-06-03,19.2,,,20.857142857142858
2020-06-04,16.8,,,16.428571428571427
2020-06-05,24.8,,,19.0
2020-06-06,18.4,,,16.0
2020-06-07,14.5,,,18.714285714285715
2020-06-08,15.2,,,19.428571428571427
2020-06-09,15.2,,,21.571428571428573
2020-06-10,28.1,,,20.0
2020-06-11,24.1,,,22.214285714285715
2020-06-12,33.6,,,24.428571428571427
2020-06-13,33.6,,,22.714285714285715
2020-06-14,28.1,,,23.285714285714285
2020-06-15,33.6,,,24.428571428571427
2020-06-16,36.1,,,26.428571428571427
2020-06-17,26.4,,,29.142857142857142
2020-06-18,34.4,,,32.74285714285714
2020-06-19,35.2,,,36.34285714285714
2020-06-20,28.9,,,39.94285714285714
2020-06-21,21.6,,,43.542857142857144
2020-06-22,16.8,,,47.142857142857146
2020-06-23,18.4,,,49.142857142857146
2020-06-24,14.5,,,54.714285714285715
2020-06-25,13.6,,,71.14285714285714
2020-06-26,8.0,100.0,,77.85714285714286
2020-06-27,12.1,37.0,,77.71428571428571
2020-06-28,12.8,20.0,,81.0
2020-06-29,14.5,29.0,,73.14285714285714
2020-06-30,12.1,52.0,,74.57142857142857
2020-07-01,14.5,55.0,,72.28571428571429
2020-07-02,12.8,19.0,,67.85714285714286
2020-07-03,16.0,18.0,,75.57142857142857
2020-07-04,21.6,19.0,,83.85714285714286
2020-07-05,21.6,13.0,,77.28571428571429
2020-07-06,16.8,16.0,,69.71428571428571
2020-07-07,13.6,19.0,,68.57142857142857
2020-07-08,11.2,20.0,,70.0
2020-07-09,12.1,51.0,,64.28571428571429
2020-07-10,17.6,36.0,,63.142857142857146
2020-07-11,17.6,21.0,,61.142857142857146
2020-07-12,23.3,21.0,,70.57142857142857
2020-07-13,27.2,20.0,,72.14285714285714
2020-07-14,23.3,21.0,,73.0
2020-07-15,19.2,30.0,,78.0
2020-07-16,18.4,26.0,,88.57142857142857
2020-07-17,19.2,18.0,,84.85714285714286
2020-07-18,24.8,18.0,,87.42857142857143
2020-07-19,16.0,16.0,,83.85714285714286
2020-07-20,15.2,14.0,,92.85714285714286
2020-07-21,13.6,16.0,,104.71428571428571
2020-07-22,20.0,15.0,,109.14285714285714
2020-07-23,18.4,12.0,,107.57142857142857
2020-07-24,13.6,10.0,,120.42857142857143
2020-07-25,15.2,10.0,,127.57142857142857
2020-07-26,12.1,12.0,,139.14285714285714
2020-07-27,12.1,10.0,,133.28571428571428
2020-07-28,16.0,10.0,,128.85714285714286
2020-07-29,11.2,15.0,,126.57142857142857
2020-07-30,12.1,44.0,,133.0
2020-07-31,16.0,35.0,,118.57142857142857
2020-08-01,19.2,15.0,,109.0
2020-08-02,19.2,12.0,,93.71428571428571
2020-08-03,24.8,16.0,,92.14285714285714
2020-08-04,28.1,20.0,,84.57142857142857
2020-08-05,24.1,18.0,,82.57142857142857
2020-08-06,27.2,18.0,,69.42857142857143
2020-08-07,27.2,20.0,,64.71428571428571
2020-08-08,25.6,21.0,,60.42857142857143
2020-08-09,28.9,19.0,,57.714285714285715
2020-08-10,21.6,31.0,,55.285714285714285
2020-08-11,16.8,51.0,,53.0
2020-08-12,17.6,22.0,,50.285714285714285
2020-08-13,17.6,10.0,,45.142857142857146
2020-08-14,13.6,15.0,,44.0
2020-08-15,14.5,13.0,2.6,39.857142857142854
2020-08-16,23.3,17.0,1.4,41.285714285714285
2020-08-17,15.2,18.0,1.3,37.285714285714285
2020-08-18,24.8,19.0,1.3,42.142857142857146
2020-08-19,27.2,21.0,2.0,42.42857142857143
2020-08-20,20.0,19.0,2.5,42.142857142857146
2020-08-21,20.0,11.0,3.7,42.57142857142857
2020-08-22,20.0,12.0,3.6,49.142857142857146
2020-08-23,18.4,14.0,1.0,53.0
2020-08-24,13.6,12.0,0.8,53.57142857142857
2020-08-25,10.4,10.0,1.4,46.0
2020-08-26,10.8,28.0,1.1,41.714285714285715
2020-08-27,12.8,21.0,2.0,42.57142857142857
2020-08-28,12.1,15.0,3.1,39.285714285714285
2020-08-29,12.1,16.0,2.7,35.857142857142854
2020-08-30,12.8,10.0,3.0,35.714285714285715
2020-08-31,10.4,15.0,3.5,34.142857142857146
2020-09-01,12.6,51.0,2.4,32.857142857142854
2020-09-02,13.6,58.0,2.7,29.571428571428573
2020-09-03,11.2,49.0,3.6,27.285714285714285
2020-09-04,19.2,38.0,5.5,30.0
2020-09-05,19.2,18.0,1.5,26.714285714285715
2020-09-06,23.3,15.0,1.7,22.142857142857142
2020-09-07,25.6,18.0,1.9,22.142857142857142
2020-09-08,20.0,19.0,4.8,21.0
2020-09-09,20.0,19.0,2.1,20.285714285714285
2020-09-10,21.0,16.0,1.4,21.142857142857142
2020-09-11,12.1,12.0,1.3,20.857142857142858
2020-09-12,12.1,10.0,1.3,20.571428571428573
2020-09-13,15.2,10.0,1.0,19.714285714285715
2020-09-14,13.6,12.0,0.6,19.142857142857142
2020-09-15,15.5,10.0,0.7,21.714285714285715
2020-09-16,20.0,10.0,1.0,25.428571428571427
2020-09-17,19.2,10.0,1.3,24.0
2020-09-18,28.9,22.0,1.8,21.428571428571427
2020-09-19,23.3,24.0,1.3,21.714285714285715
2020-09-20,20.8,21.0,1.6,22.571428571428573
2020-09-21,22.4,17.0,2.0,22.714285714285715
2020-09-22,22.4,19.0,2.8,24.428571428571427
2020-09-23,16.4,18.0,3.9,21.142857142857142
2020-09-24,16.0,8.0,1.6,22.857142857142858
2020-09-25,12.1,11.0,1.0,25.571428571428573
2020-09-26,12.1,12.0,1.6,26.714285714285715
2020-09-27,16.0,15.0,5.2,24.857142857142858
2020-09-28,16.0,13.0,1.9,24.571428571428573
2020-09-29,16.0,15.0,1.0,23.142857142857142
