,o3,pm10,no2,cases
2019-12-30,9.4,14.0,2.8,
2019-12-31,11.0,8.0,5.5,
2020-01-01,9.0,11.0,5.1,
2020-01-02,11.8,13.0,5.5,
2020-01-03,11.0,16.0,4.2,
2020-01-04,9.0,11.0,2.3,
2020-01-05,12.2,6.0,3.7,
2020-01-06,9.0,11.0,7.4,
2020-01-07,13.5,14.0,8.7,
2020-01-08,12.2,17.0,4.6,
2020-01-09,15.9,30.0,6.4,
2020-01-10,15.5,26.0,3.2,
2020-01-11,12.2,25.0,1.9,
2020-01-12,8.6,21.0,2.3,
2020-01-13,9.4,20.0,4.2,
2020-01-14,8.2,17.0,4.6,
2020-01-15,5.7,19.0,5.5,
2020-01-16,7.0,16.0,4.2,
2020-01-17,16.3,29.0,1.4,
2020-01-18,15.5,22.0,2.3,
2020-01-19,13.5,15.0,1.9,
2020-01-20,12.2,12.0,2.3,
2020-01-21,12.2,12.0,2.8,
2020-01-22,13.9,19.0,2.8,
2020-01-23,13.5,25.0,2.8,
2020-01-24,11.0,15.0,5.5,
2020-01-25,11.0,8.0,4.2,
2020-01-26,9.4,13.0,4.2,
2020-01-27,10.6,16.0,5.1,
2020-01-28,9.8,12.0,3.2,
2020-01-29,11.8,22.0,6.0,
2020-01-30,15.5,21.0,1.9,
2020-01-31,13.0,20.0,4.2,
2020-02-01,6.5,7.0,2.8,
2020-02-02,10.2,8.0,2.8,
2020-02-03,13.9,12.0,7.4,
2020-02-04,12.2,14.0,9.4,
2020-02-05,13.9,20.0,7.4,
2020-02-06,11.4,26.0,2.4,
2020-02-07,14.7,12.0,3.2,
2020-02-08,11.4,10.0,2.5,
2020-02-09,11.8,15.0,2.8,
2020-02-10,10.6,17.0,4.6,
2020-02-11,8.6,14.0,5.5,
2020-02-12,9.0,18.0,3.2,
2020-02-13,5.7,19.0,4.2,
2020-02-14,8.2,11.0,3.0,
2020-02-15,16.7,17.0,1.9,
2020-02-16,13.9,16.0,1.9,
2020-02-17,10.2,15.0,2.8,
2020-02-18,9.4,15.0,5.1,
2020-02-19,8.6,14.0,4.8,
2020-02-20,12.6,28.0,2.3,
2020-02-21,13.9,9.0,1.9,
2020-02-22,16.7,12.0,2.0,
2020-02-23,15.5,11.0,1.9,
2020-02-24,15.9,13.0,6.0,
2020-02-25,10.6,14.0,6.9,
2020-02-26,11.0,11.0,6.4,
2020-02-27,13.0,8.0,5.5,
2020-02-28,12.6,12.0,6.9,
2020-02-29,15.5,14.0,3.7,
2020-03-01,11.8,17.0,4.2,
2020-03-02,7.4,17.0,9.2,
2020-03-03,15.9,23.0,6.0,
2020-03-04,12.6,25.0,4.6,
2020-03-05,10.2,20.0,3.7,
2020-03-06,15.9,9.0,3.2,
2020-03-07,15.5,12.0,1.4,
2020-03-08,17.1,18.0,1.9,
2020-03-09,10.6,17.0,2.8,
2020-03-10,13.0,23.0,6.0,
2020-03-11,13.5,20.0,8.3,
2020-03-12,12.6,20.0,6.9,
2020-03-13,10.6,18.0,6.1,
2020-03-14,11.0,18.0,5.1,
2020-03-15,14.7,20.0,2.8,
2020-03-16,15.5,23.0,1.4,
2020-03-17,11.8,21.0,3.2,
2020-03-18,12.6,11.0,3.2,
2020-03-19,11.4,14.0,4.6,
2020-03-20,12.2,17.0,5.1,
2020-03-21,11.4,18.0,3.7,3.4285714285714284
2020-03-22,12.2,20.0,2.3,5.0
2020-03-23,13.0,33.0,2.8,6.428571428571429
2020-03-24,10.2,17.0,5.1,6.7857142857142865
2020-03-25,11.0,21.0,2.8,7.142857142857143
2020-03-26,13.5,24.0,2.4,9.714285714285714
2020-03-27,13.0,21.0,4.7,12.0
2020-03-28,15.5,23.0,4.2,14.714285714285714
2020-03-29,11.4,20.0,2.4,16.714285714285715
2020-03-30,12.6,26.0,3.7,17.714285714285715
2020-03-31,9.4,19.0,3.7,22.428571428571427
2020-04-01,14.3,8.0,3.0,25.571428571428573
2020-04-02,10.6,12.0,5.5,29.142857142857142
2020-04-03,15.9,13.0,6.1,32.0
2020-04-04,15.5,23.0,4.2,38.142857142857146
2020-04-05,16.7,16.0,2.9,38.714285714285715
2020-04-06,11.4,12.0,4.3,45.0
2020-04-07,14.7,11.0,4.3,44.857142857142854
2020-04-08,10.2,18.0,4.8,45.42857142857143
2020-04-09,10.6,22.0,3.7,44.142857142857146
2020-04-10,14.7,19.0,3.2,42.142857142857146
2020-04-11,16.3,18.0,3.7,36.0
2020-04-12,16.7,24.0,1.0,36.42857142857143
2020-04-13,11.0,20.0,3.2,30.428571428571427
2020-04-14,6.1,22.0,6.4,28.142857142857142
2020-04-15,7.8,18.0,3.7,27.0
2020-04-16,18.7,15.0,1.9,25.857142857142858
2020-04-17,18.3,20.0,3.2,28.428571428571427
2020-04-18,10.6,13.0,2.9,28.0
2020-04-19,8.6,13.0,2.5,26.571428571428573
2020-04-20,10.2,19.0,2.8,29.285714285714285
2020-04-21,14.3,12.0,6.9,27.285714285714285
2020-04-22,16.7,18.0,2.8,25.571428571428573
2020-04-23,17.5,18.0,4.2,25.714285714285715
2020-04-24,16.3,17.0,4.6,23.5
2020-04-25,14.3,18.0,3.2,21.285714285714285
2020-04-26,14.7,16.0,2.0,21.428571428571427
