,o3,pm10,no2,cases
2019-12-30,24.1,5.0,5.6,
2019-12-31,22.4,7.0,9.3,
2020-01-01,24.1,8.0,5.6,
2020-01-02,17.6,12.0,14.9,
2020-01-03,8.0,12.0,10.2,
2020-01-04,20.8,5.0,6.5,
2020-01-05,23.3,5.0,4.7,
2020-01-06,14.5,9.0,13.0,
2020-01-07,20.0,13.0,13.9,
2020-01-08,6.4,13.0,19.5,
2020-01-09,16.8,13.0,8.4,
2020-01-10,19.2,13.0,9.3,
2020-01-11,24.1,16.0,2.8,
2020-01-12,20.8,8.0,4.7,
2020-01-13,7.3,6.0,8.4,
2020-01-14,12.8,7.0,9.3,
2020-01-15,8.8,8.0,8.4,
2020-01-16,26.4,8.0,4.7,
2020-01-17,26.4,7.0,1.9,
2020-01-18,20.8,9.0,5.6,
2020-01-19,23.3,6.0,2.8,
2020-01-20,21.6,8.0,2.8,
2020-01-21,28.9,7.0,2.8,
2020-01-22,25.6,10.0,4.7,
2020-01-23,20.8,14.0,6.5,
2020-01-24,21.6,12.0,3.8,
2020-01-25,24.1,5.0,4.7,
2020-01-26,14.5,6.0,5.6,
2020-01-27,12.1,11.0,13.9,
2020-01-28,17.6,8.0,6.5,
2020-01-29,20.8,10.0,6.5,
2020-01-30,20.8,10.0,3.8,
2020-01-31,20.0,12.0,7.5,
2020-02-01,20.0,7.0,3.8,
2020-02-02,25.6,,3.8,
2020-02-03,25.6,,10.2,
2020-02-04,30.4,,6.5,
2020-02-05,20.0,,9.3,
2020-02-06,21.6,,6.5,
2020-02-07,24.1,2.0,1.9,
2020-02-08,25.6,4.0,4.7,
2020-02-09,22.4,6.0,4.7,
2020-02-10,23.3,6.0,13.0,
2020-02-11,19.2,4.0,5.6,
2020-02-12,20.8,4.0,3.8,
2020-02-13,20.8,8.0,5.6,
2020-02-14,27.2,7.0,2.8,
2020-02-15,24.1,10.0,3.8,
2020-02-16,20.0,17.0,9.3,
2020-02-17,16.8,17.0,5.6,
2020-02-18,16.0,17.0,9.3,
2020-02-19,20.0,10.0,3.8,
2020-02-20,22.4,10.0,4.7,
2020-02-21,24.1,9.0,1.9,
2020-02-22,12.8,20.0,15.8,
2020-02-23,26.4,18.0,11.2,
2020-02-24,20.0,17.0,13.0,
2020-02-25,18.4,10.0,10.2,
2020-02-26,13.6,12.0,7.5,
2020-02-27,28.1,8.0,5.6,
2020-02-28,28.1,10.0,8.4,
2020-02-29,30.4,9.0,4.7,
2020-03-01,30.4,8.0,6.5,
2020-03-02,28.1,13.0,6.5,
2020-03-03,24.8,10.0,6.5,
2020-03-04,21.6,9.0,7.5,
2020-03-05,21.6,12.0,6.5,
2020-03-06,25.6,12.0,3.8,
2020-03-07,26.4,5.0,2.8,
2020-03-08,25.6,10.0,7.5,
2020-03-09,28.1,14.0,9.3,
2020-03-10,28.1,14.0,7.5,
2020-03-11,23.3,15.0,7.5,
2020-03-12,20.0,18.0,5.6,
2020-03-13,24.1,19.0,5.6,
2020-03-14,32.0,9.0,2.8,
2020-03-15,32.0,13.0,1.9,
2020-03-16,28.9,11.0,3.8,2.0
2020-03-17,22.4,15.0,9.3,1.5714285714285714
2020-03-18,20.0,20.0,5.6,2.0714285714285716
2020-03-19,24.1,18.0,5.6,2.5714285714285716
2020-03-20,28.1,28.0,3.8,4.214285714285714
2020-03-21,21.6,10.0,3.8,5.857142857142857
2020-03-22,28.9,12.0,1.0,6.0
2020-03-23,24.8,7.0,4.7,6.142857142857143
2020-03-24,16.0,11.0,3.8,6.142857142857143
2020-03-25,26.4,5.0,1.9,8.428571428571429
2020-03-26,26.4,6.0,7.5,9.714285714285714
2020-03-27,25.6,18.0,7.5,14.857142857142858
2020-03-28,24.8,30.0,3.8,14.142857142857142
2020-03-29,24.8,27.0,2.8,13.857142857142858
2020-03-30,35.2,12.0,8.4,16.285714285714285
2020-03-31,28.1,,2.8,19.714285714285715
2020-04-01,28.9,,2.8,17.428571428571427
2020-04-02,29.6,,3.8,21.571428571428573
2020-04-03,34.4,,5.6,19.571428571428573
2020-04-04,31.2,,2.8,22.714285714285715
2020-04-05,25.6,,2.8,22.571428571428573
2020-04-06,26.4,,5.6,21.142857142857142
2020-04-07,24.8,,5.6,20.571428571428573
2020-04-08,32.0,,4.7,24.0
2020-04-09,33.6,,4.7,19.571428571428573
2020-04-10,35.2,,2.8,19.0
2020-04-11,25.6,,4.7,20.142857142857142
2020-04-12,34.4,,2.8,23.714285714285715
2020-04-13,30.4,,3.8,23.142857142857142
2020-04-14,27.2,,2.8,23.571428571428573
2020-04-15,28.9,,1.9,21.0
2020-04-16,25.6,,7.5,25.857142857142858
2020-04-17,37.6,,7.5,25.0
2020-04-18,32.0,,1.9,22.142857142857142
2020-04-19,25.6,,2.8,17.428571428571427
2020-04-20,27.2,,3.8,17.571428571428573
2020-04-21,30.4,,5.6,15.714285714285714
2020-04-22,36.1,,5.6,15.142857142857142
2020-04-23,27.2,,5.6,10.571428571428571
2020-04-24,30.4,,2.8,9.571428571428571
2020-04-25,22.4,,1.9,9.428571428571429
2020-04-26,24.8,,1.9,10.142857142857142
2020-04-27,29.6,,3.8,10.285714285714286
2020-04-28,27.2,,7.5,22.571428571428573
2020-04-29,36.8,,3.8,24.571428571428573
2020-04-30,34.4,,3.8,27.857142857142858
2020-05-01,24.8,,4.7,29.428571428571427
