,o3,pm10,no2,cases
2019-12-30,16.8,3.0,5.6,
2019-12-31,20.0,6.0,4.7,
2020-01-01,12.8,10.0,11.2,
2020-01-02,17.6,8.0,8.4,
2020-01-03,21.6,7.0,8.4,
2020-01-04,23.3,10.0,5.6,
2020-01-05,24.8,7.0,4.7,
2020-01-06,22.4,7.0,8.4,
2020-01-07,23.3,5.0,3.8,
2020-01-08,22.4,7.0,8.4,
2020-01-09,14.5,17.0,8.4,
2020-01-10,22.4,12.0,5.6,
2020-01-11,24.8,5.0,6.5,
2020-01-12,24.1,6.0,8.4,
2020-01-13,15.2,10.0,10.2,
2020-01-14,12.8,10.0,8.4,
2020-01-15,16.0,14.0,10.2,
2020-01-16,17.6,12.0,8.4,
2020-01-17,16.8,16.0,12.1,
2020-01-19,20.8,6.0,7.5,
2020-01-20,13.6,10.0,13.9,
2020-01-21,16.8,15.0,12.1,
2020-01-22,15.2,13.0,12.1,
2020-01-23,15.2,16.0,13.9,
2020-01-24,18.4,5.0,10.2,
2020-01-25,20.0,5.0,4.7,
2020-01-26,27.2,8.0,6.5,
2020-01-27,23.3,6.0,6.5,
2020-01-28,24.8,5.0,11.2,
2020-01-29,14.5,13.0,13.0,
2020-01-30,20.0,21.0,11.2,
2020-01-31,19.2,21.0,12.1,
2020-02-01,23.3,10.0,7.5,
2020-02-02,28.1,8.0,3.8,
2020-02-03,27.2,5.0,6.5,
2020-02-04,24.8,8.0,9.3,
2020-02-05,8.0,18.0,18.6,
2020-02-06,15.2,20.0,17.6,
2020-02-07,19.2,20.0,15.8,
2020-02-08,20.0,12.0,10.2,
2020-02-09,24.1,11.0,11.2,
2020-02-10,20.8,13.0,13.9,
2020-02-11,26.4,10.0,4.7,
2020-02-12,24.8,8.0,5.6,
2020-02-13,21.6,10.0,5.6,
2020-02-14,23.3,21.0,10.2,
2020-02-15,25.6,10.0,6.5,
2020-02-16,29.6,8.0,9.3,
2020-02-17,28.1,14.0,9.3,
2020-02-18,27.2,10.0,5.6,
2020-02-19,23.3,12.0,7.5,
2020-02-20,16.8,23.0,12.1,
2020-02-21,16.8,16.0,8.4,
2020-02-22,9.6,18.0,13.0,
2020-02-23,20.0,10.0,11.2,
2020-02-24,14.5,10.0,17.6,
2020-02-25,16.0,7.0,10.2,
